threshold_return,threshold_basis_points,Down,Neutral,Up,directional_sessions,directional_pct,directional_majority_baseline_pct
0.0,0.0,218,0,216,434,100.0,50.23041474654379
0.00025,2.5,194,44,196,390,89.86175115207374,50.256410256410255
0.0005,5.0,172,89,173,345,79.49308755760369,50.14492753623189
0.00075,7.5,156,120,158,314,72.35023041474655,50.318471337579616
0.001,10.0,135,160,139,274,63.133640552995395,50.72992700729927
0.0015,15.0,100,236,98,198,45.622119815668206,50.505050505050505
0.002,20.0,79,283,72,151,34.7926267281106,52.317880794701985
