date,entry_datetime,entry_price,final_close,target_final_hour_return,ret_open_to_1500,ret_last_15m,ret_last_30m,ret_last_60m,momentum_accel_60m_vs_prior,rv_open_to_1500,realized_vol_60m,realized_vol_120m,atr_open_to_1500,atr_60m,range_open_to_1500_pct,range_expansion_ratio,dist_from_day_high_pct,dist_from_day_low_pct,position_in_day_range,dist_from_open_pct,spy_dist_from_vwap_pct,spy_cum_volume_to_1500,spy_volume_last_60m,spy_volume_accel_60m_vs_avg,vix_level_1500,vix_change_open_to_1500,vix_ret_last_60m,vix_realized_vol_to_1500,day_of_week,target_class
2026-03-03,2026-03-03 14:45:00-05:00,6826.919921875,6816.58984375,-0.0015131389035193399,0.003920461448364998,-0.0009322181776398875,0.001114494971955704,6.294413164709134e-05,-0.005511114418372598,0.008802855893263368,0.002831474955771966,0.003976315415009733,21.450017755681817,17.5699462890625,0.019317700579352115,0.8191110370716808,-0.0019195595335435023,0.017361059569495296,0.8987125304163748,0.003920461448364998,0.008398845555480872,84568073,10534399,0.6851190105750665,,,,0.0,1,Neutral
2026-03-04,2026-03-04 14:45:00-05:00,6882.85986328125,6868.9501953125,-0.002020914016128028,0.007490082587745084,0.00015694749886208115,0.00028335016545444347,0.0003328269490761038,-0.00019209442632162066,0.006776567878629455,0.0005191946438133249,0.0008840839509053711,12.876309481534092,4.8175048828125,0.010907770110605286,0.3741370840551232,-0.00044729959180722645,0.010455591477680048,0.9585452729256208,0.007490082587745084,0.0031455168262304323,52292852,4906112,0.5160096450658304,,,,0.0,2,Down
2026-03-05,2026-03-05 14:45:00-05:00,6784.9599609375,6829.91015625,0.00662497576570642,-0.009651050116698645,0.00020492701553487258,0.0005190666822481038,0.0006873082878693371,0.000463076260952322,0.01048152715413153,0.001677880793669997,0.004995546870690325,19.160955255681817,11.9725341796875,0.014717712551140183,0.6248401512308356,-0.012440300338840249,0.002094319447862869,0.1422992493287078,-0.009651050116698645,-0.00432203485587912,71893036,8385704,0.6415276717483457,25.200000762939453,0.13207549433189292,0.008000030517578027,0.11697218073438856,3,Up
2026-03-06,2026-03-06 14:45:00-05:00,6762.8798828125,6738.14990234375,-0.003656723303869347,-0.0009085352759469201,0.0004511658802444085,0.00011387267388718314,0.0013592086166884787,3.519374955573973e-05,0.017104760689846024,0.0019075342084260698,0.005016488900535323,18.625022194602273,11.9373779296875,0.009216912720916737,0.6409322794335824,-0.0015560882366765227,0.0076464821547768125,0.82961425222395,-0.0009085352759469201,0.0022161901881121437,67711429,8107218,0.6585254462728884,26.729999542236328,-0.03081944828937866,-0.01036655624852989,0.08535351234242154,4,Down
2026-03-09,2026-03-09 14:45:00-04:00,6712.7998046875,6796.240234375,0.012430048879043643,0.0019403564851152577,-0.0011829327549008894,-3.4258818463528407e-05,0.0018596013378520126,0.005527985880741548,0.014423924560657265,0.0022116235247212467,0.003958759615386925,17.623180042613637,11.9600830078125,0.014858273469697147,0.6786563479969271,-0.003242984270558358,0.011567104051988908,0.7784958377283554,0.0019403564851152577,0.003556669620177866,63150280,8407269,0.7322212902302254,27.219999313354492,-0.1037208244594312,-0.019452482387428804,0.08952506095150506,0,Up
2026-03-10,2026-03-10 14:45:00-04:00,6796.93017578125,6781.31005859375,-0.0022981135282450493,5.445654629832042e-05,-0.0004132596977078906,-0.0011535434830856062,-0.005277346718914,-0.006270617285787816,0.008862099491317018,0.0049908403084183315,0.006572408640207301,17.532293146306817,22.3699951171875,0.012624722369659391,1.2759309310259705,-0.00703423507018186,0.005501682034633415,0.4357863779924017,5.445654629832042e-05,-0.0016764077593229842,59741372,14951769,1.3765122351056818,24.200000762939453,-0.0020618242086823946,0.0670194196345224,0.08854126298482434,1,Down
2026-03-11,2026-03-11 14:45:00-04:00,6764.2001953125,6774.759765625,0.0015610966570471785,-0.0038128580082530394,0.0003061627824190172,-2.512013270361546e-05,0.0003860558866806141,0.002282906071698676,0.006624238549377862,0.002054531307156839,0.0038705771238016994,15.823663884943182,10.52490234375,0.009718951212916327,0.6651368747641844,-0.006893066178897955,0.0027588916601182234,0.28386721979339674,-0.0038128580082530394,-0.0011153320095592667,49053924,7677816,0.8608483186788481,24.770000457763672,0.011846442849273497,-0.019009882860844707,0.07078027473265446,2,Neutral
2026-03-12,2026-03-12 14:45:00-04:00,6684.3798828125,6671.81005859375,-0.0018804772378467893,-0.008381695117288812,-0.00045459072377906917,-0.0012416619724660016,-0.0011819804885665475,-0.00018478605912308765,0.011528249969185717,0.0017732689429993413,0.001696972368575953,18.337690873579547,10.5074462890625,0.009098633892862695,0.5729972416647805,-0.008381695117288812,0.0006406768002999996,0.07041461474810608,-0.008381695117288812,-0.002568661106743475,73096497,10294243,0.7745697649505694,26.780000686645508,0.019801997457401077,0.022137401023532677,0.0806982219975054,3,Neutral
2026-03-13,2026-03-13 14:45:00-04:00,6652.1298828125,6631.8798828125,-0.0030441377959743443,-0.0032007766269700477,-0.0003802257933672726,0.0013336599679376615,0.0024155430027210656,0.0035008394699803658,0.01155358438037784,0.001914391855088501,0.0037548357227352373,18.181818181818183,10.1776123046875,0.015373899059752949,0.5597686767578125,-0.01205499892021622,0.003133567802971804,0.20382388298458282,-0.0032007766269700477,-0.0030411832885555157,64635066,7472329,0.6358438544798577,26.959999084472656,0.05766964796210394,-0.023895790539703032,0.06511608172257835,4,Down
2026-03-16,2026-03-16 14:45:00-04:00,6705.66015625,6699.85009765625,-0.0008664409556059516,0.004688088690485426,-0.0008834996830925368,-0.0002400176639023588,0.001299126075599455,0.0007717753654923332,0.01267938946998569,0.0016851803720868053,0.002414170722494289,12.719105113636363,7.27001953125,0.0072666033121395746,0.5715826283608343,-0.0025599127511777287,0.004688088690485426,0.6451554445876289,0.004688088690485426,0.0004674265212796236,58024423,9481040,0.8986857137726297,23.770000457763672,-0.051476418023546855,-0.012873732015139971,0.05807437382540755,0,Neutral
