datetime,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,spy_open,spy_high,spy_low,spy_close,spy_volume,date,time,bar_number,spx_ret_15m,spx_logret_15m,vix_ret_15m,spy_ret_15m,spy_dollar_volume_proxy,spy_cum_dollar_volume_proxy,spy_cum_volume,spy_vwap
2026-03-03 09:30:00-05:00,6800.259765625,6800.259765625,6746.990234375,6747.97998046875,126760774,,,,,,675.0599975585938,677.0999755859375,673.219970703125,673.4400024414062,13469644,2026-03-03,09:30:00,1,,,,,9086442016.952555,9086442016.952555,13469644,674.5866495768229
2026-03-03 09:45:00-05:00,6747.9599609375,6760.60009765625,6733.72021484375,6736.9501953125,158997567,,,,,,673.4400024414062,674.7999877929688,671.9500122070312,672.3800048828125,6631516,2026-03-03,09:45:00,2,-0.0016345313987555787,-0.0016358687026443164,,-0.0015740044469454428,4463297644.486816,13549739661.439371,20101160,674.0774990816137
2026-03-03 10:00:00-05:00,6736.81982421875,6751.740234375,6730.56982421875,6740.64990234375,141774552,,,,,,672.3599853515625,673.9299926757812,671.6300048828125,672.6400146484375,6284015,2026-03-03,10:00:00,3,0.0005491664512859984,0.0005490157145739971,,0.00038670062128076665,4227466383.236389,17777206044.67576,26385175,673.7573673350947
2026-03-03 10:15:00-05:00,6740.56982421875,6742.16015625,6710.419921875,6711.81005859375,133473384,,,,,,672.6199951171875,672.9500122070312,669.6599731445312,669.8499755859375,6737756,2026-03-03,10:15:00,4,-0.004278496015639677,-0.004287674970488098,,-0.004147893377943412,4519821392.188802,22297027436.864563,33122931,673.1598552333597
2026-03-03 10:30:00-05:00,6711.91015625,6738.330078125,6711.91015625,6726.83984375,125218965,,,,,,669.8499755859375,672.5,669.780029296875,671.22998046875,5470016,2026-03-03,10:30:00,5,0.0022393043046571304,0.002236800799481742,,0.0020601700874967044,3671310656.526042,25968338093.390602,38592947,672.8778212607242
2026-03-03 10:45:00-05:00,6726.77978515625,6734.6298828125,6718.08984375,6733.10009765625,114149312,,,,,,671.22998046875,672.1699829101562,670.3400268554688,671.97998046875,3737575,2026-03-03,10:45:00,6,0.0009306381676481568,0.000930205392434047,,0.001117351759938101,2509769141.7500815,28478107235.140686,42330522,672.7558718775234
2026-03-03 11:00:00-05:00,6733.39990234375,6766.18017578125,6731.81005859375,6765.0498046875,116355314,,,,,,671.9600219726562,675.280029296875,671.75,675.030029296875,4307524,2026-03-03,11:00:00,7,0.004745170362515649,0.00473394753046108,,0.004538898355271437,2903357410.611328,31381464645.752014,46638046,672.8726294783451
2026-03-03 11:15:00-05:00,6765.1298828125,6779.759765625,6764.7998046875,6775.580078125,102248000,,,,,,675.030029296875,676.5800170898438,674.97998046875,676.02001953125,3709335,2026-03-03,11:15:00,8,0.0015565699797515098,0.0015553597803776853,,0.001466586953777771,2506991174.230652,33888455819.982666,50347381,673.0927239290295
2026-03-03 11:30:00-05:00,6775.1298828125,6781.35986328125,6761.77978515625,6781.330078125,94212000,,,,,,676.0,676.8499755859375,674.6599731445312,676.6900024414062,3310885,2026-03-03,11:30:00,9,0.0008486358265566984,0.0008482759387682393,,0.0009910696293000676,2238378931.7785645,36126834751.76123,53658266,673.2762246130211
2026-03-03 11:45:00-05:00,6781.3701171875,6798.0,6781.3701171875,6789.97021484375,84966000,,,,,,676.6799926757812,678.4500122070312,676.630615234375,677.5599975585938,3482736,2026-03-03,11:45:00,10,0.001274106498166283,0.0012732955132630508,,0.0012856627318988956,2359716893.25,38486551645.01123,57141002,673.5365201508232
