session_date,rule,contracts,option_type,option_ticker,entry_execution_price,capital_at_risk_usd,net_pnl_usd,return_on_initial_premium,winner,tp1_achieved,tp2_achieved,ambiguous_intrabar,last_exit_timestamp,tp1_contracts_exited,tp2_contracts_exited,stop_contracts_exited,runner_contracts_exited_at_close,legs_json
2025-01-02,1C_HOLD_CLOSE,1,call,O:SPXW250102C05845000,9.3765,939.15,1234.85,1.3148591811744663,True,False,False,False,2025-01-02 15:59:00-05:00,0,0,0,1,"[{""timestamp"": ""2025-01-02T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 22.9, ""execution_price"": 21.755, ""reason"": ""close_runner""}]"
2025-01-02,1C_STOP50_HOLD_CLOSE,1,call,O:SPXW250102C05845000,9.3765,939.15,1234.85,1.3148591811744663,True,False,False,False,2025-01-02 15:59:00-05:00,0,0,0,1,"[{""timestamp"": ""2025-01-02T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 22.9, ""execution_price"": 21.755, ""reason"": ""close_runner""}]"
2025-01-02,2C_TP100_RUNNER_CLOSE,2,call,O:SPXW250102C05845000,9.3765,1878.3,2075.7349999999997,1.105113666613427,True,True,False,False,2025-01-02 15:59:00-05:00,1,0,0,1,"[{""timestamp"": ""2025-01-02T15:04:00-05:00"", ""contracts"": 1, ""reference_price"": 18.753, ""execution_price"": 17.81535, ""reason"": ""tp1""}, {""timestamp"": ""2025-01-02T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 22.9, ""execution_price"": 21.755, ""reason"": ""close_runner""}]"
2025-01-02,2C_TP100_RUNNER_BE,2,call,O:SPXW250102C05845000,9.3765,1878.3,2075.7349999999997,1.105113666613427,True,True,False,False,2025-01-02 15:59:00-05:00,1,0,0,1,"[{""timestamp"": ""2025-01-02T15:04:00-05:00"", ""contracts"": 1, ""reference_price"": 18.753, ""execution_price"": 17.81535, ""reason"": ""tp1""}, {""timestamp"": ""2025-01-02T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 22.9, ""execution_price"": 21.755, ""reason"": ""close_runner""}]"
2025-01-02,2C_TP100_RUNNER_TRAIL25,2,call,O:SPXW250102C05845000,9.3765,1878.3,1761.2849999999996,0.9377016451046157,True,True,False,False,2025-01-02 15:15:00-05:00,1,0,1,0,"[{""timestamp"": ""2025-01-02T15:04:00-05:00"", ""contracts"": 1, ""reference_price"": 18.753, ""execution_price"": 17.81535, ""reason"": ""tp1""}, {""timestamp"": ""2025-01-02T15:15:00-05:00"", ""contracts"": 1, ""reference_price"": 19.59, ""execution_price"": 18.6105, ""reason"": ""stop""}]"
2025-01-02,3C_TP50_TP100_RUNNER_CLOSE,3,call,O:SPXW250102C05845000,9.3765,2817.45,2471.23625,0.8771180500097606,True,True,True,False,2025-01-02 15:59:00-05:00,1,1,0,1,"[{""timestamp"": ""2025-01-02T15:03:00-05:00"", ""contracts"": 1, ""reference_price"": 14.06475, ""execution_price"": 13.3615125, ""reason"": ""tp1""}, {""timestamp"": ""2025-01-02T15:04:00-05:00"", ""contracts"": 1, ""reference_price"": 18.753, ""execution_price"": 17.81535, ""reason"": ""tp2""}, {""timestamp"": ""2025-01-02T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 22.9, ""execution_price"": 21.755, ""reason"": ""close_runner""}]"
2025-01-14,1C_HOLD_CLOSE,1,call,O:SPXW250114C05825000,9.45,946.4999999999999,648.0000000000001,0.6846275752773378,True,False,False,False,2025-01-14 15:59:00-05:00,0,0,0,1,"[{""timestamp"": ""2025-01-14T15:59:00-05:00"", ""contracts"": 1, ""reference_price"": 16.8, ""execution_price"": 15.96, ""reason"": ""close_runner""}]"
2025-01-14,1C_STOP50_HOLD_CLOSE,1,call,O:SPXW250114C05825000,9.45,946.4999999999999,-499.12499999999994,-0.527337559429477,False,False,False,False,2025-01-14 15:02:00-05:00,0,0,1,0,"[{""timestamp"": ""2025-01-14T15:02:00-05:00"", ""contracts"": 1, ""reference_price"": 4.725, ""execution_price"": 4.48875, ""reason"": ""stop""}]"
2025-01-14,2C_TP100_RUNNER_CLOSE,2,call,O:SPXW250114C05825000,9.45,1892.9999999999998,-998.2499999999999,-0.527337559429477,False,False,False,False,2025-01-14 15:02:00-05:00,0,0,1,0,"[{""timestamp"": ""2025-01-14T15:02:00-05:00"", ""contracts"": 2, ""reference_price"": 4.725, ""execution_price"": 4.48875, ""reason"": ""stop""}]"
2025-01-14,2C_TP100_RUNNER_BE,2,call,O:SPXW250114C05825000,9.45,1892.9999999999998,-998.2499999999999,-0.527337559429477,False,False,False,False,2025-01-14 15:02:00-05:00,0,0,1,0,"[{""timestamp"": ""2025-01-14T15:02:00-05:00"", ""contracts"": 2, ""reference_price"": 4.725, ""execution_price"": 4.48875, ""reason"": ""stop""}]"
