requested_coverage,realised_coverage,sessions,mean_abs_move_bps,median_abs_move_bps,mean_move_points,median_move_points,rate_ge_20bps,rate_ge_30bps,rate_ge_40bps,model_balanced_accuracy,mean_reversion_balanced_accuracy,model_minus_benchmark_ba,model_accuracy,model_mcc,mean_directional_capture_bps,median_directional_capture_bps,mean_abs_move_when_correct_bps,mean_abs_move_when_wrong_bps
1.0,1.0,432,20.596588709834712,13.033535906170624,11.742847222222245,7.775000000000439,0.3472222222222222,0.20833333333333334,0.1388888888888889,0.5435677530017153,0.548327615780446,-0.004759862778730639,0.5370370370370371,0.12261977985185768,2.2377441746301674,2.14419106760122,21.259551306225923,19.827552098020913
0.5,0.5,216,19.988924796470794,12.01761743155949,11.421388888888844,7.109999999999795,0.32407407407407407,0.19907407407407407,0.12037037037037036,0.5294723294723295,0.5138996138996139,0.015572715572715556,0.5185185185185185,0.09551201900779276,0.4830954524537811,0.23689193347053994,19.740876668605843,20.256053549556125
0.3,0.3055555555555556,132,19.579042286094918,11.40229323235209,11.148106060606052,6.990000000000023,0.29545454545454547,0.1893939393939394,0.12878787878787878,0.5559006211180124,0.5069013112491373,0.04899930986887513,0.5378787878787878,0.1813578788527762,3.0419885635104023,1.5146519758113541,21.02800050808382,17.89254992935374
0.2,0.2013888888888889,87,19.871820388575458,11.346091382754553,11.266781609195402,7.1199999999993,0.3218390804597701,0.1839080459770115,0.12643678160919541,0.5564864864864865,0.49972972972972973,0.05675675675675673,0.4942528735632184,0.19328666056112714,0.19332639221017442,-0.23762443458141824,20.29846244102732,19.45487474640659
0.1,0.10416666666666667,45,20.826062308582774,11.003464998415868,11.674888888888848,6.419999999999983,0.28888888888888886,0.15555555555555556,0.13333333333333333,0.5714285714285714,0.6092436974789917,-0.037815126050420256,0.4666666666666667,0.2433792297574958,-2.5829479531439667,-1.7022295465896065,19.546193952255862,21.945947120368817
