rule,sessions,mean_points,median_points,p25_points,p75_points,rate_ge_10_points,rate_ge_20_points,rate_ge_30_points
All intersection sessions,421,11.79909738717342,7.780000000000775,3.920000000000306,14.81000000000022,0.3919239904988123,0.17339667458432304,0.0665083135391924
RQ1 high confidence,127,11.124488188976366,7.010000000000372,3.5700000000001713,12.954999999999778,0.3228346456692913,0.14173228346456693,0.07086614173228346
RQ3 large-move flag,237,15.410168776371316,10.749999999999735,5.190000000000666,20.77000000000028,0.5232067510548524,0.26582278481012656,0.11392405063291139
RQ1 high confidence + RQ3,72,15.514583333333352,9.334999999999289,5.515000000000274,19.18749999999991,0.4722222222222222,0.2361111111111111,0.125
RQ1 high confidence + RQ2 >= 20 bps,21,26.881428571428646,19.840000000000387,9.869999999999504,35.95000000000007,0.7142857142857143,0.47619047619047616,0.2857142857142857
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,21,26.881428571428646,19.840000000000387,9.869999999999504,35.95000000000007,0.7142857142857143,0.47619047619047616,0.2857142857142857
