minimum_realised_move_bps,sessions,up_share,model_balanced_accuracy,mean_reversion_balanced_accuracy,model_minus_benchmark_ba,model_accuracy,mean_reversion_accuracy,mean_abs_move_bps,median_abs_move_bps,mean_move_points
0,432,0.49074074074074076,0.5435677530017153,0.548327615780446,-0.004759862778730639,0.5370370370370371,0.5486111111111112,20.596588709834712,13.033535906170624,11.742847222222245
10,270,0.5185185185185185,0.5395604395604395,0.5324175824175824,0.0071428571428571175,0.5518518518518518,0.5333333333333333,30.012581890361968,21.914631701658305,17.079814814814817
15,189,0.4973544973544973,0.5624860022396416,0.566461366181411,-0.003975363941769339,0.5608465608465608,0.5661375661375662,37.57738366781934,28.91260268225615,21.26825396825392
20,150,0.47333333333333333,0.5695311107149224,0.5771082189338563,-0.007577108218933981,0.5533333333333333,0.5733333333333334,42.883101656232824,35.0721085102701,24.171666666666614
25,115,0.45217391304347826,0.5738705738705738,0.5967643467643468,-0.022893772893772923,0.5478260869565217,0.591304347826087,49.13238301326569,40.67436629971999,27.694869565217363
30,90,0.4111111111111111,0.5657827638959715,0.5655277919428863,0.0002549719530852146,0.5222222222222223,0.5555555555555556,55.11786009933251,44.246989864237804,30.961777777777737
40,60,0.43333333333333335,0.5950226244343891,0.5723981900452488,0.022624434389140302,0.5666666666666667,0.5666666666666667,65.2790402242148,53.33319303036266,36.65833333333329
50,34,0.47058823529411764,0.625,0.65625,-0.03125,0.6176470588235294,0.6470588235294118,81.3925869165599,64.75221082778316,44.73235294117641
