predicted_magnitude_quintile,sessions,mean_predicted_move_bps,median_predicted_move_bps,mean_realised_move_bps,median_realised_move_bps,mean_realised_move_points,rate_ge_30bps
0,104,8.401373822698634,8.519838911322188,10.360831145328369,9.477656128894507,5.993942307692278,0.028846153846153848
1,104,10.162990955107286,10.18278631887166,10.923961545256505,8.537277604274696,6.093076923076985,0.038461538461538464
2,103,12.068762128875793,11.964743222717072,17.123438079279744,12.019550914951216,9.650291262135921,0.1553398058252427
3,104,15.565386961849226,15.294283017353502,18.808242429270674,15.760091002214871,10.99490384615382,0.19230769230769232
4,104,26.849690816669018,25.17951004469474,38.256623135535484,28.92789911053906,21.713750000000054,0.49038461538461536
