research_question,outer_fold,epoch,loss,val_loss
RQ1 Direction,3,2,0.6831934452056885,0.7031511664390564
RQ1 Direction,3,3,0.6859508156776428,0.7054885029792786
RQ1 Direction,3,4,0.6738137602806091,0.7071754336357117
RQ1 Direction,3,5,0.6681696176528931,0.7069364190101624
RQ1 Direction,3,6,0.6709630489349365,0.7079627513885498
RQ1 Direction,3,7,0.6659248471260071,0.7085659503936768
RQ1 Direction,3,8,0.6662216782569885,0.7094675898551941
RQ1 Direction,3,9,0.661467969417572,0.7101263999938965
RQ1 Direction,3,10,0.6509315371513367,0.7109717726707458
RQ1 Direction,3,11,0.6543945670127869,0.7118527889251709
RQ1 Direction,3,12,0.6561037302017212,0.7122543454170227
RQ1 Direction,3,13,0.6500084400177002,0.7121368050575256
RQ1 Direction,3,14,0.6466001868247986,0.7123516201972961
RQ1 Direction,3,15,0.6496589779853821,0.7126043438911438
RQ1 Direction,3,16,0.6438701152801514,0.7127666473388672
RQ1 Direction,3,17,0.6444586515426636,0.7128143906593323
RQ1 Direction,3,18,0.6408116817474365,0.7129579782485962
RQ1 Direction,3,19,0.6399783492088318,0.7131649255752563
RQ1 Direction,3,20,0.6514932513237,0.7135696411132812
RQ1 Direction,3,21,0.6406548619270325,0.7138381600379944
RQ2 Magnitude,1,1,20.70915412902832,17.099077224731445
RQ2 Magnitude,1,2,20.503522872924805,16.872236251831055
RQ2 Magnitude,1,3,20.274702072143555,16.648801803588867
RQ2 Magnitude,1,4,19.958189010620117,16.400598526000977
RQ2 Magnitude,1,5,19.663646697998047,16.10444450378418
RQ2 Magnitude,1,6,19.267160415649414,15.740872383117676
RQ2 Magnitude,1,7,18.807388305664062,15.309221267700195
RQ2 Magnitude,1,8,18.377304077148438,14.900851249694824
RQ2 Magnitude,1,9,17.923860549926758,14.578653335571289
RQ2 Magnitude,1,10,17.360990524291992,14.263309478759766
RQ2 Magnitude,1,11,16.852476119995117,13.96583366394043
RQ2 Magnitude,1,12,16.492891311645508,13.65780258178711
RQ2 Magnitude,1,13,15.838814735412598,13.374529838562012
RQ2 Magnitude,1,14,15.360578536987305,13.124895095825195
RQ2 Magnitude,1,15,15.023773193359375,12.883193016052246
RQ2 Magnitude,1,16,14.508468627929688,12.692546844482422
RQ2 Magnitude,1,17,14.335816383361816,12.526886940002441
RQ2 Magnitude,1,18,14.043009757995605,12.369171142578125
RQ2 Magnitude,1,19,13.849422454833984,12.247705459594727
RQ2 Magnitude,1,20,13.297615051269531,12.146156311035156
RQ2 Magnitude,1,21,13.228740692138672,12.095048904418945
RQ2 Magnitude,1,22,13.17651653289795,12.085569381713867
RQ2 Magnitude,1,23,13.103740692138672,12.096683502197266
RQ2 Magnitude,1,24,13.135794639587402,12.10578727722168
RQ2 Magnitude,1,25,13.589190483093262,12.112921714782715
RQ2 Magnitude,1,26,13.3145170211792,12.117032051086426
RQ2 Magnitude,1,27,12.723434448242188,12.119889259338379
RQ2 Magnitude,1,28,13.049478530883789,12.120695114135742
RQ2 Magnitude,1,29,12.8554105758667,12.121459007263184
RQ2 Magnitude,1,30,13.173036575317383,12.12179946899414
RQ2 Magnitude,1,31,13.352049827575684,12.121316909790039
RQ2 Magnitude,1,32,13.2222318649292,12.120573043823242
RQ2 Magnitude,1,33,12.965234756469727,12.120108604431152
RQ2 Magnitude,1,34,13.388904571533203,12.119914054870605
RQ2 Magnitude,1,35,12.735908508300781,12.120007514953613
RQ2 Magnitude,1,36,13.116683959960938,12.120390892028809
RQ2 Magnitude,1,37,13.302143096923828,12.120442390441895
RQ2 Magnitude,2,1,21.042299270629883,16.77765655517578
RQ2 Magnitude,2,2,20.79976463317871,16.627405166625977
RQ2 Magnitude,2,3,20.615087509155273,16.485734939575195
RQ2 Magnitude,2,4,20.43952178955078,16.32581901550293
RQ2 Magnitude,2,5,20.21578598022461,16.129499435424805
RQ2 Magnitude,2,6,19.925601959228516,15.847838401794434
RQ2 Magnitude,2,7,19.468799591064453,15.38590145111084
RQ2 Magnitude,2,8,18.729503631591797,14.681708335876465
RQ2 Magnitude,2,9,18.105283737182617,13.966580390930176
RQ2 Magnitude,2,10,17.452951431274414,13.274333953857422
RQ2 Magnitude,2,11,16.531936645507812,12.641493797302246
RQ2 Magnitude,2,12,15.972837448120117,12.183801651000977
RQ2 Magnitude,2,13,15.235222816467285,11.834815979003906
RQ2 Magnitude,2,14,14.913406372070312,11.6432466506958
RQ2 Magnitude,2,15,14.597086906433105,11.590581893920898
RQ2 Magnitude,2,16,14.137958526611328,11.558204650878906
RQ2 Magnitude,2,17,14.194488525390625,11.559368133544922
RQ2 Magnitude,2,18,13.800553321838379,11.603196144104004
RQ2 Magnitude,2,19,13.49793529510498,11.660951614379883
RQ2 Magnitude,2,20,13.795193672180176,11.712745666503906
RQ2 Magnitude,2,21,13.490548133850098,11.753173828125
RQ2 Magnitude,2,22,13.966724395751953,11.765027046203613
RQ2 Magnitude,2,23,13.698163032531738,11.784586906433105
RQ2 Magnitude,2,24,13.884856224060059,11.801199913024902
RQ2 Magnitude,2,25,13.728509902954102,11.79859447479248
RQ2 Magnitude,2,26,14.058197021484375,11.792311668395996
RQ2 Magnitude,2,27,13.45836067199707,11.794426918029785
RQ2 Magnitude,2,28,13.523988723754883,11.795622825622559
RQ2 Magnitude,2,29,13.655637741088867,11.793500900268555
RQ2 Magnitude,2,30,13.698958396911621,11.793294906616211
RQ2 Magnitude,2,31,13.633400917053223,11.796932220458984
RQ2 Magnitude,3,1,19.576953887939453,31.91786003112793
RQ2 Magnitude,3,2,19.0501651763916,31.37130355834961
RQ2 Magnitude,3,3,18.391603469848633,30.600446701049805
RQ2 Magnitude,3,4,17.41954231262207,29.40458106994629
RQ2 Magnitude,3,5,15.937195777893066,27.776147842407227
RQ2 Magnitude,3,6,14.617535591125488,26.03074836730957
RQ2 Magnitude,3,7,13.8517427444458,24.6357421875
RQ2 Magnitude,3,8,13.278121948242188,23.866682052612305
RQ2 Magnitude,3,9,13.153504371643066,23.467926025390625
RQ2 Magnitude,3,10,12.919171333312988,23.18992805480957
RQ2 Magnitude,3,11,13.21773624420166,23.020366668701172
RQ2 Magnitude,3,12,12.856863021850586,22.88057518005371
RQ2 Magnitude,3,13,12.903337478637695,22.77375602722168
RQ2 Magnitude,3,14,12.786253929138184,22.64244270324707
RQ2 Magnitude,3,15,12.722745895385742,22.651453018188477
RQ2 Magnitude,3,16,12.672905921936035,22.413131713867188
RQ2 Magnitude,3,17,12.552377700805664,22.330713272094727
RQ2 Magnitude,3,18,12.619105339050293,22.2816219329834
RQ2 Magnitude,3,19,12.508343696594238,22.20490264892578
RQ2 Magnitude,3,20,12.395134925842285,22.04341697692871
RQ2 Magnitude,3,21,12.435380935668945,22.021984100341797
RQ2 Magnitude,3,22,12.099882125854492,21.93415069580078
RQ2 Magnitude,3,23,12.170035362243652,21.88751983642578
RQ2 Magnitude,3,24,12.298542976379395,21.79594612121582
RQ2 Magnitude,3,25,12.166471481323242,21.614721298217773
RQ2 Magnitude,3,26,12.370863914489746,21.68061637878418
RQ2 Magnitude,3,27,12.231534957885742,21.626314163208008
RQ2 Magnitude,3,28,12.27926254272461,21.50402069091797
RQ2 Magnitude,3,29,12.08963394165039,21.436670303344727
RQ2 Magnitude,3,30,11.872076034545898,21.433008193969727
RQ2 Magnitude,3,31,11.982122421264648,21.468652725219727
RQ2 Magnitude,3,32,11.833738327026367,21.5458984375
RQ2 Magnitude,3,33,11.926411628723145,21.54804801940918
RQ2 Magnitude,3,34,11.851866722106934,21.274641036987305
RQ2 Magnitude,3,35,11.987796783447266,21.264522552490234
RQ2 Magnitude,3,36,12.046869277954102,21.297693252563477
RQ2 Magnitude,3,37,11.82786750793457,21.261817932128906
RQ2 Magnitude,3,38,11.67275619506836,21.2131290435791
RQ2 Magnitude,3,39,11.734941482543945,21.16213035583496
RQ2 Magnitude,3,40,11.665708541870117,21.16181182861328
RQ2 Magnitude,3,41,11.892498970031738,21.369915008544922
RQ2 Magnitude,3,42,11.76852798461914,21.109582901000977
RQ2 Magnitude,3,43,11.84560489654541,21.04578399658203
RQ2 Magnitude,3,44,11.652435302734375,21.049304962158203
RQ2 Magnitude,3,45,11.823962211608887,21.08797264099121
RQ2 Magnitude,3,46,11.888910293579102,21.156402587890625
RQ2 Magnitude,3,47,12.062579154968262,21.07136344909668
RQ2 Magnitude,3,48,11.640132904052734,20.909265518188477
RQ2 Magnitude,3,49,11.709798812866211,20.97144317626953
RQ2 Magnitude,3,50,11.603020668029785,21.04014778137207
RQ2 Magnitude,3,51,11.471513748168945,20.97502326965332
RQ2 Magnitude,3,52,11.695384979248047,20.94107437133789
RQ2 Magnitude,3,53,11.500121116638184,21.02633285522461
RQ2 Magnitude,3,54,11.536294937133789,21.028335571289062
RQ2 Magnitude,3,55,11.760144233703613,21.120912551879883
RQ2 Magnitude,3,56,11.662055969238281,21.130849838256836
RQ2 Magnitude,3,57,11.472033500671387,21.074316024780273
RQ2 Magnitude,3,58,11.35080623626709,21.042320251464844
RQ2 Magnitude,3,59,11.390697479248047,21.066390991210938
RQ2 Magnitude,3,60,11.536860466003418,21.05928611755371
RQ2 Magnitude,3,61,11.366839408874512,21.073043823242188
RQ2 Magnitude,3,62,11.310270309448242,21.06440544128418
RQ2 Magnitude,3,63,11.340660095214844,21.027740478515625
RQ3 Large Movement,1,1,0.7214564681053162,0.6879592537879944
RQ3 Large Movement,1,2,0.6885356307029724,0.6839982867240906
RQ3 Large Movement,1,3,0.6793546080589294,0.6797419190406799
RQ3 Large Movement,1,4,0.714790403842926,0.6749281287193298
RQ3 Large Movement,1,5,0.6748605370521545,0.6707512140274048
RQ3 Large Movement,1,6,0.6586819291114807,0.6658248901367188
RQ3 Large Movement,1,7,0.6532759070396423,0.6608064770698547
RQ3 Large Movement,1,8,0.661261260509491,0.6584464311599731
RQ3 Large Movement,1,9,0.6593655347824097,0.6583594083786011
RQ3 Large Movement,1,10,0.623029351234436,0.6593664288520813
RQ3 Large Movement,1,11,0.6273963451385498,0.6604511141777039
RQ3 Large Movement,1,12,0.6249852180480957,0.6605282425880432
RQ3 Large Movement,1,13,0.6083113551139832,0.6573649644851685
RQ3 Large Movement,1,14,0.6351302862167358,0.6534688472747803
RQ3 Large Movement,1,15,0.6201803684234619,0.6500806212425232
RQ3 Large Movement,1,16,0.6039809584617615,0.6488628387451172
RQ3 Large Movement,1,17,0.6231949925422668,0.6469258069992065
RQ3 Large Movement,1,18,0.5785892605781555,0.6465380191802979
RQ3 Large Movement,1,19,0.5700960159301758,0.6473273634910583
RQ3 Large Movement,1,20,0.6099565029144287,0.6470170021057129
RQ3 Large Movement,1,21,0.5408981442451477,0.6450417637825012
RQ3 Large Movement,1,22,0.5528478026390076,0.6450741291046143
RQ3 Large Movement,1,23,0.5435754656791687,0.6474782228469849
RQ3 Large Movement,1,24,0.5537461042404175,0.648393452167511
RQ3 Large Movement,1,25,0.5036315321922302,0.6451287865638733
RQ3 Large Movement,1,26,0.5178292393684387,0.6396365165710449
RQ3 Large Movement,1,27,0.5139154195785522,0.6369351744651794
RQ3 Large Movement,1,28,0.4940619468688965,0.6362453103065491
RQ3 Large Movement,1,29,0.49096351861953735,0.636253297328949
RQ3 Large Movement,1,30,0.4920249581336975,0.6387699246406555
RQ3 Large Movement,1,31,0.4604337215423584,0.6446057558059692
RQ3 Large Movement,1,32,0.43928518891334534,0.6525035500526428
RQ3 Large Movement,1,33,0.4599491357803345,0.6522660851478577
RQ3 Large Movement,1,34,0.4124753475189209,0.6547399759292603
RQ3 Large Movement,1,35,0.42431312799453735,0.6644050478935242
RQ3 Large Movement,1,36,0.3850574195384979,0.6773180961608887
RQ3 Large Movement,1,37,0.3885415196418762,0.6891732215881348
RQ3 Large Movement,1,38,0.3609906733036041,0.6887704133987427
RQ3 Large Movement,1,39,0.35961756110191345,0.6862481236457825
RQ3 Large Movement,1,40,0.3486960828304291,0.6935150027275085
RQ3 Large Movement,1,41,0.37337344884872437,0.7086969017982483
RQ3 Large Movement,1,42,0.3696726858615875,0.7303354144096375
RQ3 Large Movement,1,43,0.34366998076438904,0.7520014643669128
RQ3 Large Movement,2,1,0.7178792953491211,0.5505170822143555
RQ3 Large Movement,2,2,0.6728033423423767,0.5287444591522217
RQ3 Large Movement,2,3,0.6685000061988831,0.511721134185791
RQ3 Large Movement,2,4,0.6717841625213623,0.501777172088623
RQ3 Large Movement,2,5,0.6434047818183899,0.49352800846099854
RQ3 Large Movement,2,6,0.6441543698310852,0.4838651418685913
RQ3 Large Movement,2,7,0.6374321579933167,0.4802355170249939
RQ3 Large Movement,2,8,0.6261149644851685,0.47727078199386597
RQ3 Large Movement,2,9,0.609325110912323,0.474689781665802
RQ3 Large Movement,2,10,0.6129008531570435,0.47158950567245483
RQ3 Large Movement,2,11,0.6026398539543152,0.46842318773269653
RQ3 Large Movement,2,12,0.6073429584503174,0.4712185561656952
RQ3 Large Movement,2,13,0.5877308249473572,0.47661903500556946
RQ3 Large Movement,2,14,0.5599471926689148,0.474433958530426
RQ3 Large Movement,2,15,0.5710869431495667,0.47271230816841125
RQ3 Large Movement,2,16,0.5710652470588684,0.47552943229675293
RQ3 Large Movement,2,17,0.5357301831245422,0.47723305225372314
RQ3 Large Movement,2,18,0.5415195822715759,0.48103567957878113
RQ3 Large Movement,2,19,0.5451077222824097,0.4852316081523895
RQ3 Large Movement,2,20,0.5341096520423889,0.4885898530483246
RQ3 Large Movement,2,21,0.501693844795227,0.4909365177154541
RQ3 Large Movement,2,22,0.5138484239578247,0.4910907447338104
RQ3 Large Movement,2,23,0.5068410634994507,0.49161604046821594
RQ3 Large Movement,2,24,0.49143052101135254,0.493549644947052
RQ3 Large Movement,2,25,0.5013716220855713,0.4961841106414795
RQ3 Large Movement,2,26,0.49388375878334045,0.4988469183444977
RQ3 Large Movement,3,1,0.6855558156967163,0.6497990489006042
RQ3 Large Movement,3,2,0.6679100394248962,0.6316627860069275
RQ3 Large Movement,3,3,0.6410215497016907,0.6201489567756653
RQ3 Large Movement,3,4,0.6344208121299744,0.6139699220657349
RQ3 Large Movement,3,5,0.6083280444145203,0.6080806851387024
RQ3 Large Movement,3,6,0.6085013747215271,0.6046598553657532
RQ3 Large Movement,3,7,0.5956630110740662,0.6037649512290955
RQ3 Large Movement,3,8,0.5786693692207336,0.6029359698295593
RQ3 Large Movement,3,9,0.5767413973808289,0.6039388179779053
RQ3 Large Movement,3,10,0.5628662109375,0.6036239266395569
RQ3 Large Movement,3,11,0.5514164566993713,0.6060508489608765
RQ3 Large Movement,3,12,0.5327138900756836,0.6147597432136536
RQ3 Large Movement,3,13,0.523460328578949,0.6234549283981323
RQ3 Large Movement,3,14,0.512175440788269,0.6277641654014587
RQ3 Large Movement,3,15,0.4960911273956299,0.6288881301879883
RQ3 Large Movement,3,16,0.4870247542858124,0.6295685768127441
RQ3 Large Movement,3,17,0.47388792037963867,0.636496901512146
RQ3 Large Movement,3,18,0.46949824690818787,0.6378406882286072
RQ3 Large Movement,3,19,0.46190354228019714,0.6395416855812073
RQ3 Large Movement,3,20,0.46029502153396606,0.6431422829627991
RQ3 Large Movement,3,21,0.4630332887172699,0.6457003355026245
RQ3 Large Movement,3,22,0.4597027003765106,0.6477547287940979
RQ3 Large Movement,3,23,0.45684850215911865,0.6486948132514954
