feature,importance_mean,importance_std,base_metric,outer_fold,research_question
spx_logret_1m,0.016771406127258404,0.005882340860413956,0.5079536527886881,1,RQ1 Direction
spx_logret_5m,0.011940298507462676,0.006453395679935861,0.5079536527886881,1,RQ1 Direction
spy_logret_1m,0.007816182246661418,0.004978213491566691,0.5079536527886881,1,RQ1 Direction
vix_logret_1m,-0.0010408483896308441,0.009429772868647953,0.5079536527886881,1,RQ1 Direction
vix_logret_5m,0.017733699921445377,0.006536897661724845,0.5079536527886881,1,RQ1 Direction
vix_level,0.01675176747839744,0.015281058442002277,0.5079536527886881,1,RQ1 Direction
spx_from_open_pct,0.012391987431264673,0.020568660553408998,0.5079536527886881,1,RQ1 Direction
spy_from_open_pct,0.0037902592301649165,0.012060113293338753,0.5079536527886881,1,RQ1 Direction
spx_running_range_position,-0.0037509819324430538,0.009148428017636613,0.5079536527886881,1,RQ1 Direction
spx_rv_15m,0.010192458758837342,0.011413966836758146,0.5079536527886881,1,RQ1 Direction
spx_rv_30m,0.026433621366849937,0.005854821082235373,0.5079536527886881,1,RQ1 Direction
spy_log_volume,-0.0005106048703849453,0.02199807015128784,0.5079536527886881,1,RQ1 Direction
spy_log_cum_volume,-0.008326787117046397,0.020771457351671924,0.5079536527886881,1,RQ1 Direction
spx_staleness_seconds,0.0,0.0,0.5079536527886881,1,RQ1 Direction
vix_staleness_seconds,0.01237234878240373,0.005681223858264943,0.5079536527886881,1,RQ1 Direction
sequence_time_fraction,0.0,0.0,0.5079536527886881,1,RQ1 Direction
spx_logret_1m,0.015800865800865836,0.014081746044869415,0.5422077922077922,2,RQ1 Direction
spx_logret_5m,0.0041125541125541345,0.008220835071356269,0.5422077922077922,2,RQ1 Direction
spy_logret_1m,-0.00822510822510818,0.025811177810846502,0.5422077922077922,2,RQ1 Direction
vix_logret_1m,0.034848484848484906,0.01044806786679408,0.5422077922077922,2,RQ1 Direction
vix_logret_5m,0.01580086580086586,0.009907179646186813,0.5422077922077922,2,RQ1 Direction
vix_level,0.021861471861471936,0.009322448254267559,0.5422077922077922,2,RQ1 Direction
spx_from_open_pct,0.03419913419913425,0.014123272959099422,0.5422077922077922,2,RQ1 Direction
spy_from_open_pct,0.01904761904761907,0.025503034917734414,0.5422077922077922,2,RQ1 Direction
spx_running_range_position,0.017965367965368007,0.02935674635622537,0.5422077922077922,2,RQ1 Direction
spx_rv_15m,0.0004329004329004738,0.022161056448883575,0.5422077922077922,2,RQ1 Direction
spx_rv_30m,0.021645021645021734,0.04750823391265794,0.5422077922077922,2,RQ1 Direction
spy_log_volume,-0.018831168831168775,0.017809525914046914,0.5422077922077922,2,RQ1 Direction
spy_log_cum_volume,0.026190476190476254,0.012133767461622477,0.5422077922077922,2,RQ1 Direction
spx_staleness_seconds,0.0,0.0,0.5422077922077922,2,RQ1 Direction
vix_staleness_seconds,0.005411255411255422,0.0055184193870051815,0.5422077922077922,2,RQ1 Direction
sequence_time_fraction,0.0,0.0,0.5422077922077922,2,RQ1 Direction
spx_logret_1m,0.025793184488836707,0.013526032054184572,0.5206619663141403,3,RQ1 Direction
spx_logret_5m,0.008206032119075645,0.012690778035300712,0.5206619663141403,3,RQ1 Direction
spy_logret_1m,0.0014492753623188913,0.013367147596159423,0.5206619663141403,3,RQ1 Direction
vix_logret_1m,0.032373678025852004,0.004642672267420923,0.5206619663141403,3,RQ1 Direction
vix_logret_5m,0.0005875440658049902,0.017758162328555906,0.5206619663141403,3,RQ1 Direction
vix_level,0.013631022326674569,0.018110303904506506,0.5206619663141403,3,RQ1 Direction
spx_from_open_pct,0.0451233842538191,0.02581002757030592,0.5206619663141403,3,RQ1 Direction
spy_from_open_pct,0.030493537015276205,0.017762697609531725,0.5206619663141403,3,RQ1 Direction
spx_running_range_position,0.012162162162162237,0.025902835244387717,0.5206619663141403,3,RQ1 Direction
spx_rv_15m,0.024539757148452856,0.02539411476125968,0.5206619663141403,3,RQ1 Direction
spx_rv_30m,-0.0042107324716019745,0.04250528156901647,0.5206619663141403,3,RQ1 Direction
spy_log_volume,0.03795534665099889,0.022961311796691312,0.5206619663141403,3,RQ1 Direction
spy_log_cum_volume,-0.00017626321974137938,0.01666556196436201,0.5206619663141403,3,RQ1 Direction
spx_staleness_seconds,0.0,0.0,0.5206619663141403,3,RQ1 Direction
vix_staleness_seconds,0.014296905601253462,0.009730759769573624,0.5206619663141403,3,RQ1 Direction
sequence_time_fraction,0.0,0.0,0.5206619663141403,3,RQ1 Direction
spx_logret_1m,0.003397178603336215,0.015581037849187851,13.399539947509766,1,RQ2 Magnitude
spx_logret_5m,-0.04982585832476616,0.045955874025821686,13.399539947509766,1,RQ2 Magnitude
spy_logret_1m,-0.00537452707067132,0.018975339829921722,13.399539947509766,1,RQ2 Magnitude
vix_logret_1m,-0.003136253450065851,0.03768589347600937,13.399539947509766,1,RQ2 Magnitude
vix_logret_5m,0.014268875122070312,0.043222296983003616,13.399539947509766,1,RQ2 Magnitude
vix_level,0.05518646165728569,0.07861601561307907,13.399539947509766,1,RQ2 Magnitude
spx_from_open_pct,-0.013742446899414062,0.05977393686771393,13.399539947509766,1,RQ2 Magnitude
spy_from_open_pct,-0.011450004763901234,0.03391794487833977,13.399539947509766,1,RQ2 Magnitude
spx_running_range_position,0.0074558258056640625,0.06629806011915207,13.399539947509766,1,RQ2 Magnitude
spx_rv_15m,-0.013408660888671875,0.05043924227356911,13.399539947509766,1,RQ2 Magnitude
spx_rv_30m,0.16044655442237854,0.08854004740715027,13.399539947509766,1,RQ2 Magnitude
spy_log_volume,-0.036852262914180756,0.024647366255521774,13.399539947509766,1,RQ2 Magnitude
spy_log_cum_volume,0.24769917130470276,0.0872655138373375,13.399539947509766,1,RQ2 Magnitude
spx_staleness_seconds,0.0,0.0,13.399539947509766,1,RQ2 Magnitude
vix_staleness_seconds,-0.03661460801959038,0.023374248296022415,13.399539947509766,1,RQ2 Magnitude
sequence_time_fraction,0.0,0.0,13.399539947509766,1,RQ2 Magnitude
spx_logret_1m,0.043779753148555756,0.008301371708512306,19.904712677001953,2,RQ2 Magnitude
spx_logret_5m,0.0005672454717569053,0.011128020472824574,19.904712677001953,2,RQ2 Magnitude
spy_logret_1m,0.07599906623363495,0.01973036490380764,19.904712677001953,2,RQ2 Magnitude
vix_logret_1m,0.0033817291259765625,0.0029792010318487883,19.904712677001953,2,RQ2 Magnitude
vix_logret_5m,-0.00719032296910882,0.0036374619230628014,19.904712677001953,2,RQ2 Magnitude
vix_level,0.006408310029655695,0.034417495131492615,19.904712677001953,2,RQ2 Magnitude
spx_from_open_pct,0.04099082946777344,0.04756976664066315,19.904712677001953,2,RQ2 Magnitude
spy_from_open_pct,0.20412330329418182,0.04488930106163025,19.904712677001953,2,RQ2 Magnitude
spx_running_range_position,0.0019409179221838713,0.008684515953063965,19.904712677001953,2,RQ2 Magnitude
spx_rv_15m,0.12554588913917542,0.0634174719452858,19.904712677001953,2,RQ2 Magnitude
spx_rv_30m,0.26570358872413635,0.0768846645951271,19.904712677001953,2,RQ2 Magnitude
spy_log_volume,0.02443542517721653,0.005051781423389912,19.904712677001953,2,RQ2 Magnitude
spy_log_cum_volume,0.0846656784415245,0.022734127938747406,19.904712677001953,2,RQ2 Magnitude
spx_staleness_seconds,0.0,0.0,19.904712677001953,2,RQ2 Magnitude
vix_staleness_seconds,0.0012191772693768144,0.0010548140853643417,19.904712677001953,2,RQ2 Magnitude
sequence_time_fraction,0.0,0.0,19.904712677001953,2,RQ2 Magnitude
spx_logret_1m,-0.015261268243193626,0.01888662576675415,9.887567520141602,3,RQ2 Magnitude
spx_logret_5m,0.05902881547808647,0.22623924911022186,9.887567520141602,3,RQ2 Magnitude
spy_logret_1m,-0.02154865302145481,0.03420741483569145,9.887567520141602,3,RQ2 Magnitude
vix_logret_1m,-0.03145713731646538,0.10196391493082047,9.887567520141602,3,RQ2 Magnitude
vix_logret_5m,0.009780311957001686,0.07204978913068771,9.887567520141602,3,RQ2 Magnitude
vix_level,0.12905330955982208,0.09236139059066772,9.887567520141602,3,RQ2 Magnitude
spx_from_open_pct,0.04411754757165909,0.11119493842124939,9.887567520141602,3,RQ2 Magnitude
spy_from_open_pct,0.2952396273612976,0.1577654480934143,9.887567520141602,3,RQ2 Magnitude
spx_running_range_position,0.47018641233444214,0.198103666305542,9.887567520141602,3,RQ2 Magnitude
spx_rv_15m,0.5990880727767944,0.172541081905365,9.887567520141602,3,RQ2 Magnitude
spx_rv_30m,0.03595695644617081,0.07131315022706985,9.887567520141602,3,RQ2 Magnitude
spy_log_volume,0.07815132290124893,0.10708805918693542,9.887567520141602,3,RQ2 Magnitude
spy_log_cum_volume,0.10297393798828125,0.04987579956650734,9.887567520141602,3,RQ2 Magnitude
spx_staleness_seconds,0.0,0.0,9.887567520141602,3,RQ2 Magnitude
vix_staleness_seconds,0.09584121406078339,0.048986706882715225,9.887567520141602,3,RQ2 Magnitude
sequence_time_fraction,0.0,0.0,9.887567520141602,3,RQ2 Magnitude
spx_logret_1m,0.026088379556809572,0.007515805665594643,0.40929041772215635,1,RQ3 Large Movement
spx_logret_5m,0.0631395696744624,0.014568699821054288,0.40929041772215635,1,RQ3 Large Movement
spy_logret_1m,0.004210038508042457,0.004607401796378669,0.40929041772215635,1,RQ3 Large Movement
vix_logret_1m,0.023006042493836885,0.029777631044854914,0.40929041772215635,1,RQ3 Large Movement
vix_logret_5m,0.02760233296076543,0.02127680802338967,0.40929041772215635,1,RQ3 Large Movement
vix_level,0.05862915858449273,0.017906367604310403,0.40929041772215635,1,RQ3 Large Movement
spx_from_open_pct,0.05258227399592985,0.02626664986258026,0.40929041772215635,1,RQ3 Large Movement
spy_from_open_pct,0.06174260484775531,0.02902664155009831,0.40929041772215635,1,RQ3 Large Movement
spx_running_range_position,0.021226470222281767,0.033138629764823596,0.40929041772215635,1,RQ3 Large Movement
spx_rv_15m,0.0554654782960133,0.010763952158597094,0.40929041772215635,1,RQ3 Large Movement
spx_rv_30m,0.052848038184673304,0.0209728881596081,0.40929041772215635,1,RQ3 Large Movement
spy_log_volume,0.049680417329218664,0.04001335802112885,0.40929041772215635,1,RQ3 Large Movement
spy_log_cum_volume,-0.04953931111559958,0.018507967226135125,0.40929041772215635,1,RQ3 Large Movement
spx_staleness_seconds,0.0,0.0,0.40929041772215635,1,RQ3 Large Movement
vix_staleness_seconds,0.02212379117382247,0.016166848270851814,0.40929041772215635,1,RQ3 Large Movement
sequence_time_fraction,0.0,0.0,0.40929041772215635,1,RQ3 Large Movement
spx_logret_1m,0.008221877254539378,0.013480880936637633,0.6189024804478939,2,RQ3 Large Movement
spx_logret_5m,0.05118675698757187,0.021778273547353236,0.6189024804478939,2,RQ3 Large Movement
spy_logret_1m,0.009963423534508098,0.01307551411285373,0.6189024804478939,2,RQ3 Large Movement
vix_logret_1m,0.007489772343335699,0.005854894222125875,0.6189024804478939,2,RQ3 Large Movement
vix_logret_5m,-0.0055118157230560575,0.009951983836795233,0.6189024804478939,2,RQ3 Large Movement
vix_level,0.015220768939088969,0.03587452924574492,0.6189024804478939,2,RQ3 Large Movement
spx_from_open_pct,-0.00784465764396336,0.018874215627782978,0.6189024804478939,2,RQ3 Large Movement
spy_from_open_pct,-0.011409518396504304,0.025795855277657605,0.6189024804478939,2,RQ3 Large Movement
spx_running_range_position,-0.024374882945207267,0.012524848510453724,0.6189024804478939,2,RQ3 Large Movement
spx_rv_15m,0.0863751354798803,0.04245208347627305,0.6189024804478939,2,RQ3 Large Movement
spx_rv_30m,0.03825304627474313,0.06624819067730255,0.6189024804478939,2,RQ3 Large Movement
spy_log_volume,-1.484901469737121e-05,0.009363034322047008,0.6189024804478939,2,RQ3 Large Movement
spy_log_cum_volume,0.044462104055266335,0.025837912039020958,0.6189024804478939,2,RQ3 Large Movement
spx_staleness_seconds,0.0,0.0,0.6189024804478939,2,RQ3 Large Movement
vix_staleness_seconds,0.0012565605996621265,0.00391317248007781,0.6189024804478939,2,RQ3 Large Movement
sequence_time_fraction,0.0,0.0,0.6189024804478939,2,RQ3 Large Movement
spx_logret_1m,-0.002835004625457227,0.007986063994555974,0.2735959590001774,3,RQ3 Large Movement
spx_logret_5m,-0.002372799517892088,0.008842146641373881,0.2735959590001774,3,RQ3 Large Movement
spy_logret_1m,0.00146809608502797,0.004908869427413088,0.2735959590001774,3,RQ3 Large Movement
vix_logret_1m,-0.005879892224910266,0.009084631768266163,0.2735959590001774,3,RQ3 Large Movement
vix_logret_5m,-0.022266206546399527,0.028720349288957392,0.2735959590001774,3,RQ3 Large Movement
vix_level,0.01960062009332968,0.01227176677034041,0.2735959590001774,3,RQ3 Large Movement
spx_from_open_pct,-0.007274838924846039,0.006416218814863283,0.2735959590001774,3,RQ3 Large Movement
spy_from_open_pct,-0.0007094351059689253,0.012239738299923846,0.2735959590001774,3,RQ3 Large Movement
spx_running_range_position,0.00982141494502876,0.015160158884409846,0.2735959590001774,3,RQ3 Large Movement
spx_rv_15m,0.030584692295555133,0.015587149296359393,0.2735959590001774,3,RQ3 Large Movement
spx_rv_30m,0.0009967191494388461,0.0286493400527265,0.2735959590001774,3,RQ3 Large Movement
spy_log_volume,-0.0010014682076366465,0.0029053303438357084,0.2735959590001774,3,RQ3 Large Movement
spy_log_cum_volume,0.022704908095498338,0.007385190156172136,0.2735959590001774,3,RQ3 Large Movement
spx_staleness_seconds,0.0,0.0,0.2735959590001774,3,RQ3 Large Movement
vix_staleness_seconds,-0.0031116456748246702,0.0045167280726772716,0.2735959590001774,3,RQ3 Large Movement
sequence_time_fraction,0.0,0.0,0.2735959590001774,3,RQ3 Large Movement
