research_question,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,fit_sessions,internal_validation_sessions,outer_test_sessions,best_epoch,threshold,internal_threshold_balanced_accuracy,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,majority_balanced_accuracy,mean_reversion_15m_balanced_accuracy,mean_reversion_60m_balanced_accuracy
RQ1 Direction,1,2023-02-15,2023-10-16,2023-10-17,2024-09-23,115,29,143,1,0.4287287354469299,0.5976190476190476,0.5314685314685315,0.5079536527886881,0.536,0.881578947368421,0.6666666666666666,0.023930378199801733,0.5314218381775335,0.5749853886265678,0.5,0.5366260801256874,0.5019638648860958
RQ1 Direction,2,2023-02-15,2024-09-23,2024-09-24,2025-05-14,229,58,143,1,0.5057180953025818,0.5625,0.5384615384615384,0.5422077922077922,0.5,0.5909090909090909,0.5416666666666666,0.08451542547285165,0.5743801652892563,0.5567245457882977,0.5,0.5909090909090908,0.5714285714285714
RQ1 Direction,3,2023-02-15,2025-05-14,2025-05-15,2026-01-28,344,86,143,1,0.48874443918466565,0.5507364975450082,0.5104895104895105,0.5206619663141403,0.49557522123893805,0.8115942028985508,0.6153846153846154,0.050715673932899615,0.49294947121034083,0.4755501143453501,0.5,0.5296709753231492,0.572659616137877
