research_question,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,fit_sessions,internal_validation_sessions,outer_test_sessions,best_epoch,threshold,internal_threshold_f1,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio
RQ3 Large Movement,1,2023-02-15,2023-10-16,2023-10-17,2024-09-23,115,29,143,28,0.23431027352809905,0.5161290322580645,0.34265734265734266,0.5409090909090909,0.24793388429752067,0.9090909090909091,0.38961038961038963,0.09554305223800509,0.5889807162534435,0.40929041772215635,0.23076923076923078,0.17852118695292557,1.7735918101293442
RQ3 Large Movement,2,2023-02-15,2024-09-23,2024-09-24,2025-05-14,229,58,143,11,0.5345857453346252,0.625,0.7342657342657343,0.6610942249240122,0.6774193548387096,0.42857142857142855,0.525,0.37109241351788175,0.7396873643074251,0.6189024804478939,0.34265734265734266,0.2762451377905512,1.8061847898785475
RQ3 Large Movement,3,2023-02-15,2025-05-14,2025-05-15,2026-01-28,344,86,143,8,0.49271222352981564,0.7254901960784313,0.5594405594405595,0.7023809523809523,0.2375,0.9047619047619048,0.37623762376237624,0.2885851141393067,0.745511319281811,0.2735959590001774,0.14685314685314685,0.12674281214703056,1.8630581970012081
