dataset_variant,rows,feature_missing_values,up_pct,down_pct,mean_final_hour_return,final_hour_return_std
strict,680,0,50.14705882352941,49.85294117647059,-8.672089597316618e-05,0.003039128226934284
relaxed,810,0,49.629629629629626,50.37037037037037,-8.18343130105627e-05,0.0028727968310662453
