rule,regime_type,regime,sessions,minimum_sample_met,direction_balanced_accuracy,direction_accuracy,mean_abs_move_bps,median_abs_move_bps,rate_ge_30bps,mean_directional_capture_bps,first_date,last_date
All intersection sessions,vix_regime,High,100,True,0.501610305958132,0.5,34.74297747977975,24.346309518357145,0.43,-4.7109500221006915,2024-12-19,2026-03-20
All intersection sessions,vix_regime,Low,64,True,0.6124144672531769,0.609375,11.338842450996177,10.2409871687853,0.0625,0.49918677780804926,2024-12-17,2026-01-28
All intersection sessions,vix_regime,Medium,112,True,0.5136054421768708,0.5267857142857143,18.687495561608443,14.529918497074302,0.17857142857142858,1.7224170355324102,2024-12-18,2026-02-26
All intersection sessions,realized_vol_regime,High,113,True,0.5404388714733542,0.5398230088495575,34.386135563790496,27.33238070828925,0.4424778761061947,0.9430416749557923,2024-12-18,2026-03-20
All intersection sessions,realized_vol_regime,Low,72,True,0.6278520849724626,0.6388888888888888,9.590844570203757,9.051814992763196,0.0,1.7665589940095736,2024-12-17,2026-03-04
All intersection sessions,realized_vol_regime,Medium,91,True,0.44047619047619047,0.45054945054945056,18.86603340636131,13.952733287798669,0.18681318681318682,-5.274640629554042,2024-12-23,2026-03-17
All intersection sessions,intraday_trend_regime,Negative pre-15:00 return,140,True,0.5562359665237804,0.5571428571428572,23.965026420874295,16.68843328346492,0.29285714285714287,1.102465559641949,2024-12-17,2026-03-20
All intersection sessions,intraday_trend_regime,Positive pre-15:00 return,136,True,0.5080343385428131,0.5147058823529411,21.60205491779025,12.751176949524767,0.19117647058823528,-2.9454523441220353,2024-12-20,2026-03-19
RQ1 high confidence,vix_regime,High,28,True,0.5625,0.5714285714285714,30.203828189185753,19.490290132312403,0.42857142857142855,2.4167453317848273,2025-01-14,2026-03-20
RQ1 high confidence,vix_regime,Low,27,True,0.6416666666666666,0.6296296296296297,11.259465506234596,10.477465952399845,0.037037037037037035,-1.5216653925670602,2025-01-17,2026-01-28
RQ1 high confidence,vix_regime,Medium,30,True,0.55,0.5333333333333333,19.636957851187834,14.956346838845835,0.2,1.0085289819565062,2024-12-20,2026-02-11
RQ1 high confidence,realized_vol_regime,High,33,True,0.5422794117647058,0.5454545454545454,27.33783161882808,24.827410245968906,0.3939393939393939,5.9326741936389045,2024-12-20,2026-03-20
RQ1 high confidence,realized_vol_regime,Low,19,True,0.6306818181818181,0.631578947368421,9.267576940785668,9.908106510466697,0.0,0.34337852906951005,2025-01-15,2026-01-26
RQ1 high confidence,realized_vol_regime,Medium,33,True,0.5238095238095238,0.5757575757575758,20.017851157724724,13.820636612176251,0.18181818181818182,-4.407959614940751,2024-12-27,2026-03-13
RQ1 high confidence,intraday_trend_regime,Negative pre-15:00 return,51,True,0.5948275862068966,0.6078431372549019,20.49801357032076,15.611602258951418,0.23529411764705882,1.5190107378615154,2024-12-27,2026-03-20
