rule,sessions,mean_points,median_points,p25_points,p75_points,rate_ge_10_points,rate_ge_20_points,rate_ge_30_points
All intersection sessions,276,13.95880434782615,9.495000000000001,4.647500000000295,18.042499999999674,0.47101449275362317,0.2210144927536232,0.09057971014492754
RQ1 high confidence,85,12.798941176470654,8.95000000000043,4.3999999999999115,17.750000000000156,0.4470588235294118,0.18823529411764706,0.07058823529411765
RQ3 large-move flag,107,21.66046728971971,16.649999999999896,8.975000000000485,27.545000000000364,0.6915887850467289,0.4205607476635514,0.21495327102803738
RQ1 high confidence + RQ3,33,19.63575757575766,16.169999999999753,8.95000000000043,23.949999999999598,0.696969696969697,0.36363636363636365,0.18181818181818182
RQ1 high confidence + RQ2 >= 20 bps,25,20.43480000000004,17.750000000000156,8.36000000000007,23.949999999999598,0.72,0.4,0.16
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,20,24.10500000000002,20.04500000000037,11.920000000000552,25.73249999999948,0.85,0.5,0.2
