rule,balanced_accuracy_bootstrap_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_abs_move_bps_bootstrap_mean,mean_abs_move_bps_ci_low,mean_abs_move_bps_ci_high,event_rate_ge_30bps_bootstrap_mean,event_rate_ge_30bps_ci_low,event_rate_ge_30bps_ci_high,lift_ratio_ge_30bps_bootstrap_mean,lift_ratio_ge_30bps_ci_low,lift_ratio_ge_30bps_ci_high,mean_directional_capture_bps_bootstrap_mean,mean_directional_capture_bps_ci_low,mean_directional_capture_bps_ci_high
All intersection sessions,0.5346645317602216,0.47438036002072065,0.5952893031503581,22.55104325677745,18.66786820573572,26.960942581563586,0.24218478260869566,0.17753623188405798,0.3079710144927536,1.0,1.0,1.0,-1.177345067741105,-4.973176146362841,2.3435808444925237
All three: RQ1 high confidence + RQ2 >= 20 bps + RQ3,0.6542325712983325,0.4205406746031747,0.9,39.49416532771373,27.026765612950552,53.29972113864656,0.6315535526926058,0.38461538461538464,0.8571428571428571,2.636593367591001,1.6726910978295062,3.7969211553473845,7.604045428521232,-15.08727173040851,30.758831171876597
RQ1 high confidence,0.5868429860437363,0.48248503947033355,0.688117216117216,20.586863161081936,15.669280235619008,26.18000265521056,0.22746036547011994,0.1298586707410237,0.33342391304347774,0.9377337205539233,0.6133231179213857,1.2742486811685196,1.1117309005314164,-5.473882471336767,7.4736258461931
RQ1 high confidence + RQ2 >= 20 bps,0.5774508550743622,0.38886946386946386,0.7833333333333333,32.98108552740702,21.086229302428062,46.012628552697464,0.4966140388933797,0.2608293075684381,0.7142857142857143,2.0604722062141185,1.194116379310345,3.0189391447368408,4.237534764776846,-13.589277237261475,22.049855110019585
RQ1 high confidence + RQ3,0.5971308774853525,0.4249702380952382,0.7647329721362227,32.5638181482207,23.688411890808954,43.191270974584214,0.46945822945924226,0.2856227106227108,0.6666666666666666,1.9509032183037582,1.2279290366975872,2.825431034482759,5.465842142233736,-9.828892618142975,19.889458140921008
RQ3 large-move flag,0.5121790216297274,0.4299095870063612,0.5967322781385281,35.864148007393304,28.951749208436247,43.857106607310016,0.4578850300265666,0.34950311412346585,0.561815308988764,1.9048789488538187,1.5749350174078178,2.3198847811671084,-1.8076722341217342,-10.03237563715503,5.782254363046066
