predicted_magnitude_quintile,sessions,mean_predicted_move_bps,median_predicted_move_bps,mean_realised_move_bps,median_realised_move_bps,mean_realised_move_points,rate_ge_30bps
0,61,8.70796779185492,8.906220440450156,10.855569478812901,9.039117132481067,7.000000000000129,0.04918032786885246
1,60,11.889386823630483,11.807424051628775,14.012010377554025,10.177045572916654,8.938999999999997,0.11666666666666667
2,61,14.915469123363952,14.778928850908656,17.81668155604793,14.739745231693302,10.995737704918085,0.14754098360655737
3,60,20.006054679048905,20.21713397215286,28.95466888579353,19.844917180333876,17.53166666666671,0.38333333333333336
4,61,29.79166618405672,28.09973034012971,36.95019563628424,26.227989754543657,22.153770491803343,0.4426229508196721
