session_date,rq1_prediction,rq1_score,rq1_threshold,rq1_confidence_percentile,rq1_outer_fold,vix_regime,realized_vol_regime,intraday_trend_regime,final_hour_return,actual_abs_move_bps,actual_signed_move_bps,actual_move_points,spx_at_1500,ret_last_60m,actual_up,directional_capture_bps,rq2_predicted_move_bps,rq2_score,rq2_outer_fold,rq3_large_move_prediction,rq3_score,rq3_threshold,rq3_score_percentile,rq3_outer_fold,actual_large_move,rq1_high_confidence,rq3_positive,primary_trade_candidate,ml_direction,mean_reversion_direction
2024-12-20,1.0,0.7894703341499534,0.458544690212381,0.8316831683168316,1,Medium,High,Positive pre-15:00 return,-0.002982917545437,29.829175454370027,-29.829175454370027,17.750000000000156,5950.55,0.0006474178956397,0.0,-29.829175454370027,23.505084037647265,23.505084037647265,1,1.0,0.9277341405427244,-0.6053669575419826,0.6956521739130435,1,1.0,True,True,True,call,put
2025-01-02,1.0,0.7582249049866238,0.458544690212381,0.7821782178217822,1,Medium,High,Negative pre-15:00 return,0.0040975963619502,40.97596361950284,40.97596361950284,23.9499999999996,5844.89,0.0005220957780425,1.0,40.97596361950284,20.517258974943097,20.517258974943097,1,1.0,0.8171154102666834,-0.6053669575419826,0.6521739130434783,1,1.0,True,True,True,call,put
2025-01-14,1.0,0.8567656403569008,0.458544690212381,0.900990099009901,1,High,High,Negative pre-15:00 return,0.0027749462000226,27.7494620002261,27.7494620002261,16.169999999999753,5827.14,-0.0049180831770817,1.0,27.7494620002261,22.37737767520894,22.37737767520894,1,1.0,-0.0585003331350565,-0.6053669575419826,0.391304347826087,1,1.0,True,True,True,call,call
2025-04-02,1.0,0.7439194119115309,0.458544690212381,0.7425742574257426,1,High,High,Positive pre-15:00 return,0.00638169456624,63.816945662400485,63.816945662400485,35.95000000000007,5633.3,-0.0050337348546398,1.0,63.816945662400485,26.98281836496217,26.98281836496217,1,1.0,0.9212340109695928,-0.6053669575419826,0.6847826086956522,1,1.0,True,True,True,call,call
2025-04-11,1.0,0.8328197279835341,0.458544690212381,0.8712871287128713,1,High,High,Positive pre-15:00 return,0.003954996928885,39.54996928885013,39.54996928885013,21.12000000000028,5340.08,-0.0045298804335264,1.0,39.54996928885013,36.36815059506786,36.36815059506786,1,1.0,2.016712352879719,-0.6053669575419826,0.9239130434782608,1,1.0,True,True,True,call,call
2025-04-14,1.0,0.7257803275996954,0.458544690212381,0.7029702970297029,1,High,High,Negative pre-15:00 return,-0.0036568732259373,36.56873225937329,-36.56873225937329,19.840000000000387,5425.400000000001,0.003200760342376,0.0,-36.56873225937329,26.30699902796927,26.30699902796927,1,1.0,1.1750548985693974,-0.6053669575419826,0.7282608695652174,1,1.0,True,True,True,call,put
2025-04-17,1.0,0.8862076227444124,0.458544690212381,0.9405940594059404,1,High,High,Negative pre-15:00 return,-0.0036527389885099,36.527389885099296,-36.527389885099296,19.36999999999965,5302.87,-0.0018202215889198,0.0,-36.527389885099296,31.33421171201565,31.33421171201565,1,1.0,1.5172489257214177,-0.6053669575419826,0.7934782608695652,1,1.0,True,True,True,call,call
2025-05-07,1.0,0.7549342831258641,0.458544690212381,0.7722772277227723,1,High,High,Positive pre-15:00 return,0.0007572673669316,7.572673669316021,7.572673669316021,4.260000000000058,5625.49,0.002603869624729,1.0,7.572673669316021,22.27818685210461,22.27818685210461,1,1.0,1.7637519222664948,-0.6053669575419826,0.8586956521739131,1,0.0,True,True,True,call,put
2025-11-06,0.0,0.2456770985831084,0.4958745327232828,0.9108910891089108,3,Medium,High,Negative pre-15:00 return,-0.0042574876378794,42.57487637879476,-42.57487637879476,28.739999999999885,6750.46,0.002265708516451,0.0,42.57487637879476,20.01487200424329,20.01487200424329,3,1.0,-0.1146597910656904,-0.1232340018202369,0.6521739130434783,3,1.0,True,True,True,put,put
2025-11-20,0.0,0.3126555110071898,0.4958745327232828,0.7722772277227723,3,High,High,Negative pre-15:00 return,-0.0085842505837047,85.84250583704711,-85.84250583704711,56.619999999999536,6595.8,0.00466859096898,0.0,85.84250583704711,28.797777892989263,28.797777892989263,3,1.0,0.900669618051035,-0.1232340018202369,1.0,3,1.0,True,True,True,put,put
2026-02-04,0.0,0.3163316760933966,0.4958745327232828,0.7623762376237624,3,Medium,High,Negative pre-15:00 return,-0.0031992005619239,31.99200561923909,-31.99200561923909,22.09000000000031,6904.85,0.0053742461349399,0.0,31.99200561923909,21.864479917945825,21.864479917945825,3,1.0,0.3402021625166831,-0.1232340018202369,0.8586956521739131,3,1.0,True,True,True,put,put
2026-02-05,0.0,0.2199379178545147,0.4958745327232828,0.9702970297029704,3,High,High,Negative pre-15:00 return,-0.0018275390315365,18.275390315365403,-18.275390315365403,12.45000000000079,6812.4400000000005,0.0011742315690468,0.0,18.275390315365403,23.235087840985816,23.235087840985816,3,1.0,0.2144207625612296,-0.1232340018202369,0.8152173913043478,3,0.0,True,True,True,put,put
2026-02-11,1.0,0.7038698738557492,0.4958745327232828,0.8118811881188119,3,Medium,High,Negative pre-15:00 return,-0.0014762717375977,14.762717375977896,-14.762717375977896,10.260000000000383,6949.9400000000005,0.0002892947971553,0.0,-14.762717375977896,20.791810367770744,20.791810367770744,3,1.0,-0.0718350055498395,-0.1232340018202369,0.6739130434782609,3,0.0,True,True,True,call,put
2026-02-17,0.0,0.3367843954775117,0.4958745327232828,0.7029702970297029,3,High,Medium,Positive pre-15:00 return,-0.0011059864801179,11.059864801179486,-11.059864801179486,7.580000000001174,6853.610000000001,-0.0007129838886053,0.0,11.059864801179486,25.68389750699235,25.68389750699235,3,1.0,0.0155509977646458,-0.1232340018202369,0.7391304347826086,3,0.0,True,True,True,put,call
2026-03-03,1.0,0.6566342511877843,0.4958745327232828,0.7128712871287128,3,High,High,Positive pre-15:00 return,-0.0015131274425362,15.131274425362884,-15.131274425362884,10.329999999999838,6826.92,6.298991136000076e-05,0.0,-15.131274425362884,28.74760117699106,28.74760117699106,3,1.0,0.541831889251883,-0.1232340018202369,0.9021739130434784,3,0.0,True,True,True,call,put
2026-03-05,0.0,0.2452582109550325,0.4958745327232828,0.9207920792079208,3,High,High,Negative pre-15:00 return,0.0066249469414705,66.24946941470533,66.24946941470533,44.94999999999991,6784.96,0.0006872852233676,1.0,-66.24946941470533,23.950568686776982,23.950568686776982,3,1.0,0.103662887728875,-0.1232340018202369,0.7717391304347826,3,1.0,True,True,True,put,put
2026-03-06,0.0,0.2331195844957357,0.4958745327232828,0.9504950495049505,3,High,High,Negative pre-15:00 return,-0.0036567261285131,36.56726128513199,-36.56726128513199,24.729999999999343,6762.88,0.001359254926929,0.0,36.56726128513199,23.794925561468887,23.794925561468887,3,1.0,0.079378879757692,-0.1232340018202369,0.7608695652173914,3,1.0,True,True,True,put,put
2026-03-09,0.0,0.2637244573885853,0.4958745327232828,0.8712871287128713,3,High,Medium,Positive pre-15:00 return,0.01242998450721,124.2998450721,124.2998450721,83.4399999999993,6712.8,0.0018596071244145,1.0,-124.2998450721,30.97407447167244,30.97407447167244,3,1.0,0.1558938889322209,-0.1232340018202369,0.7934782608695652,3,1.0,True,True,True,put,put
2026-03-13,0.0,0.2227749095099067,0.4958745327232828,0.9603960396039604,3,High,Medium,Negative pre-15:00 return,-0.0030441377423472,30.441377423472417,-30.441377423472417,20.250000000000355,6652.13,0.0024155754132697,0.0,30.441377423472417,27.093483832836466,27.093483832836466,3,1.0,-0.0293330756238818,-0.1232340018202369,0.6847826086956522,3,1.0,True,True,True,put,put
