session_date,otm_offset_points,MeanReversion60m,RQ1_ML,ml_minus_mean_reversion_pnl_usd
2025-01-02,0.0,-811.5000000000001,1234.85,2046.35
2025-01-02,5.0,-622.5,1332.35,1954.85
2025-01-02,10.0,-444.0,784.9000000000001,1228.9
2025-01-02,15.0,-318.0,432.50000000000006,750.5
2025-01-02,20.0,-218.25,138.5,356.75
2025-01-02,25.0,-153.0,-108.0,45.0
2025-01-02,30.0,-103.0,-88.0,15.0
2025-01-14,0.0,648.0000000000001,648.0000000000001,0.0
2025-01-14,5.0,478.4999999999999,478.4999999999999,0.0
2025-01-14,10.0,193.5,193.5,0.0
2025-01-14,15.0,-151.5,-151.5,0.0
2025-01-14,20.0,-193.0,-193.0,0.0
2025-01-14,25.0,-128.0,-128.0,0.0
2025-01-14,30.0,-88.0,-88.0,0.0
2025-04-02,0.0,3024.6499999999996,3024.6499999999996,0.0
2025-04-02,5.0,2365.5,2365.5,0.0
2025-04-02,10.0,2032.0000000000002,2032.0000000000002,0.0
2025-04-02,15.0,1486.5000000000002,1486.5000000000002,0.0
2025-04-02,20.0,1351.0500000000002,1351.0500000000002,0.0
2025-04-02,25.0,852.2499999999999,852.2499999999999,0.0
2025-04-02,30.0,572.1,572.1,0.0
2025-04-11,0.0,123.50000000000006,123.50000000000006,0.0
2025-04-11,5.0,-373.0000000000001,-373.0000000000001,0.0
2025-04-11,10.0,-375.5000000000001,-375.5000000000001,0.0
2025-04-11,15.0,-745.9,-745.9,0.0
2025-04-11,20.0,-912.0000000000001,-912.0000000000001,0.0
2025-04-11,25.0,-869.4999999999999,-869.4999999999999,0.0
2025-04-11,30.0,-759.0,-759.0,0.0
2025-04-14,0.0,914.9999999999998,-995.25,-1910.2499999999998
2025-04-14,5.0,708.0,-748.5,-1456.5
2025-04-14,10.0,358.6500000000001,-517.5,-876.1500000000001
2025-04-14,15.0,37.000000000000036,-372.6,-409.6000000000001
2025-04-14,20.0,-251.25,-270.75,-19.5
2025-04-14,25.0,-203.0,-183.0,20.0
2025-04-14,30.0,-148.00000000000003,-138.0,10.000000000000028
2025-05-07,0.0,-1399.5,-883.8,515.7
2025-05-07,5.0,-1179.0,-988.0000000000001,190.9999999999999
2025-05-07,10.0,-958.5,-886.4999999999999,72.00000000000011
2025-05-07,15.0,-803.0999999999999,-733.0,70.09999999999991
2025-05-07,20.0,-666.6,-559.5,107.10000000000002
2025-05-07,25.0,-549.0,-454.49999999999994,94.50000000000006
2025-05-07,30.0,-454.49999999999994,-354.75,99.74999999999994
2025-11-06,0.0,2122.5,2122.5,0.0
2025-11-06,5.0,1992.5500000000002,1992.5500000000002,0.0
2025-11-06,10.0,1703.5000000000002,1703.5000000000002,0.0
2025-11-06,15.0,1175.35,1175.35,0.0
2025-11-06,20.0,782.75,782.75,0.0
2025-11-06,25.0,386.49999999999994,386.49999999999994,0.0
2025-11-06,30.0,-40.999999999999986,-40.999999999999986,0.0
2025-11-20,0.0,3977.95,3977.95,0.0
2025-11-20,5.0,3368.5000000000005,3368.5000000000005,0.0
2025-11-20,10.0,3423.7,3423.7,0.0
2025-11-20,15.0,2950.45,2950.45,0.0
2025-11-20,20.0,2563.5000000000005,2563.5000000000005,0.0
2025-11-20,25.0,2590.35,2590.35,0.0
2025-11-20,30.0,1952.0,1952.0,0.0
2026-02-04,0.0,981.3500000000003,981.3500000000003,0.0
2026-02-04,5.0,871.7,871.7,0.0
2026-02-04,10.0,610.0,610.0,0.0
2026-02-04,15.0,278.85,278.85,0.0
2026-02-04,20.0,-91.75000000000001,-91.75000000000001,0.0
