strategy,otm_offset_points,execution_scenario,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,sharpe_style_per_trade,sortino_style_per_trade,median_capital_at_risk_usd,mean_capital_at_risk_usd,near_total_loss_rate
MeanReversion60m,0.0,frictionless,17,0.7058823529411765,11949.0,702.8823529411765,330.00000000000006,0.7293442377006079,0.6666666666666666,3.7040054310930075,-1434.0,0.4755563680403853,0.7329094804627969,881.0,934.8235294117648,0.29411764705882354
RQ1_ML,0.0,frictionless,17,0.6470588235294118,11855.0,697.3529411764706,350.0,0.7026566042508272,0.4605263157894737,3.449380165289256,-1911.0,0.4477831679933863,0.7496359579263193,900.0,963.7647058823529,0.29411764705882354
MeanReversion60m,5.0,frictionless,17,0.47058823529411764,8766.0,515.6470588235294,-50.0,0.7200383041845269,-0.078125,3.215314632297195,-1398.0,0.40803194232174417,0.9504767186253003,642.0,716.2941176470588,0.29411764705882354
RQ1_ML,5.0,frictionless,17,0.5294117647058824,9269.0,545.2352941176471,79.99999999999999,0.7794835506503995,0.15094339622641506,3.2137568664915213,-1845.0,0.42970081297333607,0.9283145135258164,646.0,733.9411764705883,0.35294117647058826
MeanReversion60m,10.0,frictionless,17,0.47058823529411764,6673.0,392.52941176470586,-180.0,0.6574639645595356,-0.18518518518518517,2.804488912925906,-1679.0,0.31333870304246264,0.7262178365442917,463.99999999999994,538.7647058823529,0.4117647058823529
RQ1_ML,10.0,frictionless,17,0.47058823529411764,7097.0,417.47058823529414,-120.0,0.7413779831257065,-0.18518518518518517,2.9083086851304114,-1706.0,0.35273117613326366,0.855485346950363,480.0,547.9411764705883,0.35294117647058826
MeanReversion60m,15.0,frictionless,17,0.4117647058823529,3652.0000000000005,214.82352941176472,-125.00000000000003,0.45009847724419677,-0.5585738539898132,2.0862581796549673,-1337.0,0.2076260441017318,0.49926679957458253,340.0,406.2352941176471,0.47058823529411764
RQ1_ML,15.0,frictionless,17,0.4117647058823529,4003.0000000000005,235.47058823529414,-125.00000000000003,0.5350521856496546,-0.5585738539898132,2.1701256942414497,-1691.9999999999998,0.2449738539506128,0.5957604670227554,350.0,406.70588235294116,0.47058823529411764
MeanReversion60m,20.0,frictionless,17,0.23529411764705882,1859.0000000000005,109.35294117647061,-187.0,0.21311241220974234,-0.935,1.5440444834650278,-1702.0,0.09313814151629775,0.23239617201842802,254.99999999999997,310.2352941176471,0.7058823529411765
RQ1_ML,20.0,frictionless,17,0.29411764705882354,2271.0000000000005,133.58823529411768,-175.0,0.31815739356906636,-0.935,1.7152755905511812,-1625.0,0.13996454606183745,0.3474260013486956,245.00000000000003,305.4117647058824,0.6470588235294118
MeanReversion60m,25.0,frictionless,17,0.17647058823529413,1123.0,66.05882352941177,-149.99999999999997,0.08416138835258644,-0.9642857142857143,1.3733377659574468,-1515.0,0.03636242553787536,0.08873205095336147,175.0,233.11764705882354,0.7647058823529411
RQ1_ML,25.0,frictionless,17,0.17647058823529413,1263.0,74.29411764705883,-149.99999999999997,0.10432918651676219,-0.9705882352941176,1.4403765690376569,-1405.0,0.045244101415011936,0.1125763599308626,170.0,226.52941176470588,0.7058823529411765
MeanReversion60m,30.0,frictionless,17,0.11764705882352941,364.0,21.41176470588235,-107.0,-0.26924347471195825,-0.9565217391304348,1.1541719610334604,-1283.0,-0.14954960628572223,-0.29518935163248416,120.0,179.23529411764707,0.7647058823529411
RQ1_ML,30.0,frictionless,17,0.11764705882352941,484.0,28.470588235294116,-107.0,-0.27473387050368964,-0.9583333333333333,1.2159750111557341,-1181.0,-0.1524182805968153,-0.29913094000941354,114.99999999999999,171.64705882352942,0.7647058823529411
MeanReversion60m,0.0,low_cost,17,0.7058823529411765,11019.760000000002,648.2211764705884,292.4,0.6571238801795092,0.5960048919690175,3.427901648012691,-1507.9999999999982,0.44593535468207274,0.6563569453463965,899.62,954.52,0.29411764705882354
RQ1_ML,0.0,low_cost,17,0.6470588235294118,10906.0,641.5294117647059,310.6,0.6312929180413548,0.40015459933006964,3.1832522571216946,-2014.8799999999992,0.4186234309145072,0.6675564353626687,919.0,984.04,0.29411764705882354
MeanReversion60m,5.0,low_cost,17,0.47058823529411764,8049.02,473.4717647058824,-62.999999999999986,0.6464917454621523,-0.11716121137962686,2.926174271793546,-1491.7200000000003,0.38145232592162376,0.8420617773129815,655.84,731.6199999999999,0.29411764705882354
RQ1_ML,5.0,low_cost,17,0.5294117647058824,8528.56,501.67999999999995,55.2,0.7031194020537326,0.1019202363367799,2.9400904466828632,-1957.1999999999998,0.4034813594349169,0.8274676301088055,659.92,749.62,0.35294117647058826
