strategy,policy,primary_alternative,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,median_holding_minutes,mean_holding_minutes,near_total_loss_rate,mean_mfe,mean_mae,ambiguous_bar_rate
MeanReversion60m,breakeven_after_50,False,17,0.11764705882352941,697.34625,41.020367647058826,-77.07749999999993,0.012768934538666066,-0.05402892561983476,1.190437909186149,-2218.3912499999997,20.0,22.647058823529413,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,hold_to_close,False,17,0.6470588235294118,9691.400000000001,570.0823529411765,252.99999999999997,0.5590996505727012,0.5004945598417408,3.0528277907223047,-1604.0,59.0,58.94117647058823,0.29411764705882354,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop40_tp80,False,17,0.4117647058823529,1943.9789999999998,114.35170588235293,-314.535,0.036049732465441874,-0.432488114104596,1.5189068724272092,-1912.0814999999998,12.0,12.529411764705882,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop50_only,False,17,0.35294117647058826,6380.911249999999,375.34772058823523,-427.4625000000001,0.32374232301760564,-0.5273375594294771,2.2332196520662295,-2540.7512500000003,42.0,34.64705882352941,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop50_tp100,True,17,0.47058823529411764,2103.86875,123.75698529411765,-355.80000000000007,0.09193029764920135,-0.5272868217054264,1.5044733137290223,-1822.5512500000004,21.0,23.176470588235293,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop60_tp120,False,17,0.5294117647058824,4092.0145000000016,240.70673529411775,123.50000000000006,0.2212204572556897,0.06284987277353693,1.9328931439892216,-1178.4700000000003,21.0,26.235294117647058,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,time_exit_1530,False,17,0.5882352941176471,1856.1500000000005,109.18529411764709,112.29999999999995,0.06748266354212733,0.15468319559228644,1.4636897327004745,-1540.5000000000002,30.0,30.0,0.23529411764705882,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,time_exit_1545,False,17,0.47058823529411764,4570.95,268.8794117647059,-91.49999999999997,0.2367411868089,-0.11010830324909744,1.7689635449085679,-1943.7000000000003,45.0,45.0,0.29411764705882354,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,tp100_only,False,17,0.7647058823529411,6922.34,407.1964705882353,658.5,0.3874001188949454,0.8940936863543788,3.1120793287566744,-906.0,51.0,43.76470588235294,0.23529411764705882,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,trail25_after_50,False,17,0.5882352941176471,340.81125000000054,20.047720588235325,93.74999999999994,-0.03326484639223923,0.11281588447653423,1.1062453311698408,-1160.8762500000003,14.0,14.764705882352942,0.0,1.5668738389956955,-0.5995396058190984,0.0
RQ1_ML,breakeven_after_50,False,17,0.17647058823529413,1709.86625,100.58036764705882,-77.07749999999993,0.09334752459340641,-0.053971486761710756,1.4402181696240506,-2868.1837499999997,22.0,26.823529411764707,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,hold_to_close,False,17,0.6470588235294118,9551.0,561.8235294117648,253.50000000000006,0.5348464936547819,0.3170731707317074,2.843199691224007,-2143.2000000000007,59.0,58.94117647058823,0.29411764705882354,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop40_tp80,False,17,0.47058823529411764,2665.0769999999998,156.76923529411764,-215.205,0.10313630554428217,-0.4316474291710388,1.7383195473802533,-1705.1475000000005,10.0,10.882352941176471,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop50_only,False,17,0.47058823529411764,8529.275,501.7220588235294,-262.08750000000003,0.48288175717384985,-0.5265477439664219,2.8894426999396345,-2007.843749999999,49.0,38.0,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop50_tp100,True,17,0.5294117647058824,3025.7112500000003,177.98301470588237,123.50000000000006,0.1767521678519809,0.06284987277353693,1.758277298222696,-1546.1437500000002,17.0,21.764705882352942,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,stop60_tp120,False,17,0.5294117647058824,3154.681500000001,185.56950000000006,123.50000000000006,0.17624645587812543,0.06284987277353693,1.670054909693817,-2414.474,21.0,26.352941176470587,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,time_exit_1530,False,17,0.6470588235294118,1479.9000000000012,87.05294117647065,112.29999999999995,0.08110430466579803,0.15468319559228644,1.3493873503789222,-1840.9999999999998,30.0,30.0,0.17647058823529413,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,time_exit_1545,False,17,0.6470588235294118,8529.2,501.71764705882356,355.0,0.4593939110036008,0.19966921119592887,3.341707163056311,-1850.1999999999998,45.0,45.0,0.11764705882352941,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,tp100_only,False,17,0.7058823529411765,5173.4,304.3176470588235,658.5,0.29848598804405335,0.8940936863543788,2.2357339066045623,-1900.1999999999998,43.0,40.470588235294116,0.23529411764705882,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,trail25_after_50,False,17,0.5882352941176471,1075.9312500000005,63.2900735294118,269.99999999999994,0.04256966894080754,0.2927834530191158,1.3091673176907952,-1395.80625,15.0,15.0,0.0,1.6002475964018907,-0.5674862822931944,0.0
