strategy,execution_scenario,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,median_holding_minutes,mean_holding_minutes,near_total_loss_rate,mean_mfe,mean_mae,ambiguous_bar_rate
MeanReversion60m,frictionless,17,0.5294117647058824,5840.5,343.55882352941177,480.0,0.29411764705882354,1.0,2.743172660796896,-900.5,19.0,20.0,0.0,1.69521753094548,-0.5795165861100533,0.0
MeanReversion60m,low_cost,17,0.47058823529411764,2710.0950000000003,159.4173529411765,-334.928,0.13029937643826123,-0.5115861187992335,1.6917636705705106,-1662.5601999999994,19.0,21.647058823529413,0.0,1.6423701283779217,-0.5877613589314247,0.0
MeanReversion60m,medium_cost,17,0.47058823529411764,2103.86875,123.75698529411765,-355.80000000000007,0.09193029764920135,-0.5272868217054264,1.5044733137290223,-1822.5512500000004,21.0,23.176470588235293,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,severe_cost,17,0.4117647058823529,1070.2250000000004,62.9544117647059,-391.2000000000001,0.03168818946690822,-0.5528599605522684,1.2302026971072617,-2064.5550000000003,21.0,23.41176470588235,0.0,1.4501977554049819,-0.6177423510091392,0.0
RQ1_ML,frictionless,17,0.5294117647058824,5591.5,328.9117647058824,690.0,0.29411764705882354,1.0,2.5542738012508686,-1277.5,17.0,17.470588235294116,0.0,1.7302599762219852,-0.545860596407854,0.0
RQ1_ML,low_cost,17,0.5294117647058824,3638.3197999999998,214.01881176470587,246.60000000000008,0.21695535101044197,0.12921819325089084,1.9678840769397545,-1387.8289999999993,17.0,20.235294117647058,0.0,1.6767254668842992,-0.5547652905959354,0.0
RQ1_ML,medium_cost,17,0.5294117647058824,3025.7112500000003,177.98301470588237,123.50000000000006,0.1767521678519809,0.06284987277353693,1.758277298222696,-1546.1437500000002,17.0,21.764705882352942,0.0,1.6002475964018907,-0.5674862822931944,0.0
RQ1_ML,severe_cost,17,0.47058823529411764,1942.745,114.27911764705881,-80.99999999999996,0.11111146339505344,-0.03933948518698395,1.4350102721130322,-1820.5750000000003,21.0,22.764705882352942,0.0,1.4820545238381682,-0.5871459967344128,0.0
