strategy,otm_offset_points,mean_return_on_premium,mean_return_on_premium,mean_return_on_premium,mean_return_on_premium,profit_factor,profit_factor,profit_factor,profit_factor,total_pnl_usd,total_pnl_usd,total_pnl_usd,total_pnl_usd,win_rate,win_rate,win_rate,win_rate
,,frictionless,low_cost,medium_cost,severe_cost,frictionless,low_cost,medium_cost,severe_cost,frictionless,low_cost,medium_cost,severe_cost,frictionless,low_cost,medium_cost,severe_cost
MeanReversion60m,0.0,0.7293442377006079,0.6571238801795092,0.5590996505727012,0.4086536335851214,3.7040054310930075,3.427901648012691,3.0528277907223047,2.454672597657388,11949.0,11019.760000000002,9691.400000000001,7488.799999999999,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.5294117647058824
MeanReversion60m,5.0,0.7200383041845269,0.6464917454621523,0.548578537530761,0.3986832921824727,3.215314632297195,2.926174271793546,2.577590264237209,2.0891472868217056,8766.0,8049.02,7039.05,5367.1,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
MeanReversion60m,10.0,0.6574639645595356,0.5815415413418917,0.4860310605786914,0.33993205130252857,2.804488912925906,2.575669509198654,2.3090110321638506,1.9199210329256393,6673.0,6104.899999999999,5333.5,4054.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
MeanReversion60m,15.0,0.45009847724419677,0.37644690278984355,0.2931565672471046,0.1644419557475617,2.0862581796549673,1.9181290872903045,1.728072199226437,1.445314264207753,3652.0000000000005,3229.0600000000004,2682.3999999999996,1774.8000000000002,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.29411764705882354
MeanReversion60m,20.0,0.21311241220974234,0.1339866394082542,0.05978326655098087,-0.05385752013229457,1.5440444834650278,1.4209910782905073,1.297212794954705,1.1117620549797207,1859.0000000000005,1511.880000000001,1112.2000000000007,446.4000000000001,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
MeanReversion60m,25.0,0.08416138835258644,-0.006451325719554385,-0.0793654522028542,-0.18762458836143234,1.3733377659574468,1.2591263356379636,1.155727932632087,1.000538045479002,1123.0,824.54,515.9499999999999,1.9000000000002046,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413
MeanReversion60m,30.0,-0.26924347471195825,-0.3684387174841027,-0.41557037502586486,-0.48545680639491806,1.1541719610334604,1.035282131661442,0.9430599663739958,0.8055382485289029,364.0,90.04000000000006,-152.39999999999998,-561.7999999999997,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
RQ1_ML,0.0,0.7026566042508272,0.6312929180413548,0.5348464936547819,0.3867827681504384,3.449380165289256,3.1832522571216946,2.843199691224007,2.3027503299682515,11855.0,10906.0,9551.0,7304.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5294117647058824
RQ1_ML,5.0,0.7794835506503995,0.7031194020537326,0.6019278378467822,0.4468850357041415,3.2137568664915213,2.9400904466828632,2.606623170365283,2.121765897755611,9269.0,8528.56,7485.900000000001,5757.800000000001,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.47058823529411764
RQ1_ML,10.0,0.7413779831257065,0.6623580325032776,0.5622873704495098,0.4090907629273404,2.9083086851304114,2.6707209516972616,2.391004133236081,1.9848701880035808,7097.0,6516.479999999999,5721.200000000001,4400.4,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
RQ1_ML,15.0,0.5350521856496546,0.4565035823295446,0.3679781567347212,0.2316337875504479,2.1701256942414497,1.9999608413515328,1.803119792013866,1.5133275798298604,4003.0000000000005,3575.0600000000004,3011.8999999999996,2081.8,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.35294117647058826
RQ1_ML,20.0,0.31815739356906636,0.22930719755148754,0.15052301789288583,0.029778652682107176,1.7152755905511812,1.5769221542521292,1.43863996542285,1.2312855209742897,2271.0000000000005,1923.920000000001,1522.3000000000006,854.6000000000004,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354
RQ1_ML,25.0,0.10432918651676219,0.006444042690951544,-0.06928199108719456,-0.18218793559187957,1.4403765690376569,1.3187216114804818,1.2072895811328486,1.0406149677495362,1263.0,968.3400000000001,657.4499999999999,137.90000000000032,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413
RQ1_ML,30.0,-0.27473387050368964,-0.36919853819303194,-0.4161695506252301,-0.4857859330864933,1.2159750111557341,1.091256040642683,0.9926654212958411,0.846100708962007,484.0,220.94000000000005,-18.64999999999999,-423.2999999999997,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
