pct_adverse_execution_per_side,trades,total_pnl_usd,mean_pnl_usd
0.0,17,11804.0,694.3529411764706
0.005,17,11580.885,681.2285294117647
0.01,17,11357.77,668.1041176470588
0.015,17,11134.654999999999,654.9797058823528
0.02,17,10911.54,641.8552941176471
0.025,17,10688.425,628.7308823529411
0.03,17,10465.310000000001,615.6064705882354
0.035,17,10242.195,602.4820588235294
0.04,17,10019.08,589.3576470588235
0.045,17,9795.965,576.2332352941177
0.05,17,9572.85,563.1088235294118
0.055,17,9349.734999999999,549.9844117647058
0.06,17,9126.62,536.86
0.065,17,8903.505000000001,523.7355882352941
0.07,17,8680.390000000001,510.6111764705883
0.075,17,8457.275,497.4867647058823
0.08,17,8234.16,484.3623529411765
0.085,17,8011.044999999998,471.2379411764705
0.09,17,7787.930000000002,458.11352941176483
0.095,17,7564.814999999999,444.9891176470587
0.1,17,7341.7,431.86470588235295
0.105,17,7118.585000000001,418.7402941176471
0.11,17,6895.469999999999,405.6158823529411
0.115,17,6672.355,392.49147058823525
0.12,17,6449.24,379.3670588235294
0.125,17,6226.125,366.24264705882354
0.13,17,6003.01,353.11823529411765
0.135,17,5779.895,339.99382352941177
0.14,17,5556.780000000001,326.86941176470594
0.145,17,5333.665,313.745
0.15,17,5110.550000000001,300.6205882352942
0.155,17,4887.435,287.49617647058824
0.16,17,4664.320000000001,274.3717647058824
0.165,17,4441.205,261.2473529411765
0.17,17,4218.089999999999,248.12294117647053
0.17500000000000002,17,3994.9749999999995,234.99852941176468
0.18,17,3771.8600000000015,221.8741176470589
0.185,17,3548.7449999999985,208.74970588235286
0.19,17,3325.63,195.62529411764706
0.195,17,3102.5150000000012,182.50088235294126
0.2,17,2879.4000000000005,169.37647058823532
0.20500000000000002,17,2656.285,156.2520588235294
0.21,17,2433.17,143.12764705882353
0.215,17,2210.055,130.00323529411764
0.22,17,1986.94,116.87882352941176
0.225,17,1763.8250000000007,103.75441176470592
0.23,17,1540.7099999999994,90.62999999999997
0.23500000000000001,17,1317.594999999999,77.50558823529406
0.24,17,1094.4800000000007,64.38117647058827
0.245,17,871.3650000000009,51.256764705882404
0.25,17,648.2499999999995,38.13235294117644
0.255,17,425.1350000000002,25.007941176470602
0.26,17,202.01999999999998,11.883529411764705
0.265,17,-21.094999999999118,-1.2408823529411246
0.27,17,-244.21000000000026,-14.365294117647075
0.275,17,-467.3249999999997,-27.489705882352922
0.28,17,-690.4400000000014,-40.614117647058904
0.28500000000000003,17,-913.555000000001,-53.738529411764766
0.29,17,-1136.6699999999983,-66.86294117647049
0.295,17,-1359.7849999999994,-79.98735294117644
0.3,17,-1582.899999999999,-93.1117647058823
