strategy,otm_offset_points,trades,median_entry_capital_usd,mean_entry_capital_usd,p25_entry_capital_usd,p75_entry_capital_usd,mean_net_pnl_usd,median_net_pnl_usd,mean_return_on_premium,win_rate,near_total_loss_rate,profit_factor,share_entry_capital_le_250,share_entry_capital_le_500,share_entry_capital_le_1000,share_entry_capital_le_2000
MeanReversion60m,0.0,17,926.5500000000001,983.0647058823529,810.0000000000001,999.0,570.0823529411765,252.99999999999997,0.5590996505727012,0.6470588235294118,0.29411764705882354,3.0528277907223047,0.0,0.0,0.7647058823529411,1.0
MeanReversion60m,5.0,17,675.5999999999999,753.6088235294118,621.0,768.0,414.06176470588235,-80.49999999999999,0.548578537530761,0.47058823529411764,0.29411764705882354,2.577590264237209,0.0,0.17647058823529413,0.8235294117647058,1.0
MeanReversion60m,10.0,17,488.7,567.2470588235294,432.0,579.0,313.7352941176471,-198.00000000000003,0.4860310605786914,0.47058823529411764,0.47058823529411764,2.3090110321638506,0.058823529411764705,0.5294117647058824,0.9411764705882353,1.0
MeanReversion60m,15.0,17,358.5,428.4823529411765,290.25,421.5,157.7882352941176,-150.00000000000003,0.2931565672471046,0.35294117647058826,0.47058823529411764,1.728072199226437,0.17647058823529413,0.8235294117647058,0.9411764705882353,1.0
MeanReversion60m,20.0,17,269.25,328.2235294117647,211.5,316.5,65.42352941176475,-210.00000000000003,0.05978326655098087,0.23529411764705882,0.7058823529411765,1.297212794954705,0.47058823529411764,0.8235294117647058,0.9411764705882353,1.0
MeanReversion60m,25.0,17,186.5,248.45294117647063,151.5,243.0,30.349999999999994,-173.00000000000003,-0.0793654522028542,0.17647058823529413,0.7647058823529411,1.155727932632087,0.8235294117647058,0.8235294117647058,1.0,1.0
MeanReversion60m,30.0,17,131.5,193.52941176470588,101.5,168.50000000000003,-8.96470588235294,-123.00000000000001,-0.41557037502586486,0.11764705882352941,0.8235294117647058,0.9430599663739958,0.8235294117647058,0.9411764705882353,1.0,1.0
RQ1_ML,0.0,17,946.4999999999999,1013.4529411764706,883.5,1013.7,561.8235294117648,253.50000000000006,0.5348464936547819,0.6470588235294118,0.29411764705882354,2.843199691224007,0.0,0.058823529411764705,0.7058823529411765,1.0
RQ1_ML,5.0,17,679.8000000000001,772.1382352941176,631.5,799.5,440.34705882352944,20.000000000000043,0.6019278378467822,0.5294117647058824,0.35294117647058826,2.606623170365283,0.0,0.11764705882352941,0.8235294117647058,1.0
RQ1_ML,10.0,17,505.5,577.0588235294117,432.0,579.0,336.54117647058825,-138.0,0.5622873704495098,0.47058823529411764,0.4117647058823529,2.391004133236081,0.058823529411764705,0.47058823529411764,0.9411764705882353,1.0
RQ1_ML,15.0,17,369.0,428.95294117647063,290.25,421.5,177.1705882352941,-151.5,0.3679781567347212,0.35294117647058826,0.47058823529411764,1.803119792013866,0.11764705882352941,0.8235294117647058,0.9411764705882353,1.0
RQ1_ML,20.0,17,258.75,323.01176470588234,211.5,316.5,89.54705882352945,-193.0,0.15052301789288583,0.29411764705882354,0.6470588235294118,1.43863996542285,0.47058823529411764,0.8235294117647058,0.9411764705882353,1.0
RQ1_ML,25.0,17,181.5,241.60000000000005,131.5,243.0,38.673529411764704,-173.00000000000003,-0.06928199108719456,0.17647058823529413,0.7647058823529411,1.2072895811328486,0.8235294117647058,0.8823529411764706,1.0,1.0
RQ1_ML,30.0,17,126.5,185.66176470588235,91.5,168.50000000000003,-1.0970588235294112,-123.00000000000001,-0.4161695506252301,0.11764705882352941,0.8235294117647058,0.9926654212958411,0.8235294117647058,0.9411764705882353,1.0,1.0
