session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2025-01-02,put,10,selected,O:SPXW250102P05835000,SPX,2025-01-02,5835,5834.89,5844.89,-9.890000000000327,european,100,XCBO,SPX,as_of
2025-01-02,put,15,selected,O:SPXW250102P05830000,SPX,2025-01-02,5830,5829.89,5844.89,-14.890000000000327,european,100,XCBO,SPX,as_of
2025-01-02,put,20,selected,O:SPXW250102P05825000,SPX,2025-01-02,5825,5824.89,5844.89,-19.890000000000327,european,100,XCBO,SPX,as_of
2025-01-02,put,25,selected,O:SPXW250102P05820000,SPX,2025-01-02,5820,5819.89,5844.89,-24.890000000000327,european,100,XCBO,SPX,as_of
2025-01-02,put,30,selected,O:SPXW250102P05815000,SPX,2025-01-02,5815,5814.89,5844.89,-29.890000000000327,european,100,XCBO,SPX,as_of
2025-01-14,call,0,selected,O:SPXW250114C05825000,SPX,2025-01-14,5825,5827.14,5827.14,-2.1400000000003274,european,100,XCBO,SPX,as_of
2025-01-14,call,5,selected,O:SPXW250114C05830000,SPX,2025-01-14,5830,5832.14,5827.14,2.8599999999996726,european,100,XCBO,SPX,as_of
2025-01-14,call,10,selected,O:SPXW250114C05835000,SPX,2025-01-14,5835,5837.14,5827.14,7.859999999999673,european,100,XCBO,SPX,as_of
2025-01-14,call,15,selected,O:SPXW250114C05840000,SPX,2025-01-14,5840,5842.14,5827.14,12.859999999999673,european,100,XCBO,SPX,as_of
2025-01-14,call,20,selected,O:SPXW250114C05845000,SPX,2025-01-14,5845,5847.14,5827.14,17.859999999999673,european,100,XCBO,SPX,as_of
2025-01-14,call,25,selected,O:SPXW250114C05850000,SPX,2025-01-14,5850,5852.14,5827.14,22.859999999999673,european,100,XCBO,SPX,as_of
2025-01-14,call,30,selected,O:SPXW250114C05855000,SPX,2025-01-14,5855,5857.14,5827.14,27.859999999999673,european,100,XCBO,SPX,as_of
2025-01-14,put,0,selected,O:SPXW250114P05825000,SPX,2025-01-14,5825,5827.14,5827.14,-2.1400000000003274,european,100,XCBO,SPX,as_of
2025-01-14,put,5,selected,O:SPXW250114P05820000,SPX,2025-01-14,5820,5822.14,5827.14,-7.140000000000327,european,100,XCBO,SPX,as_of
2025-01-14,put,10,selected,O:SPXW250114P05815000,SPX,2025-01-14,5815,5817.14,5827.14,-12.140000000000327,european,100,XCBO,SPX,as_of
2025-01-14,put,15,selected,O:SPXW250114P05810000,SPX,2025-01-14,5810,5812.14,5827.14,-17.140000000000327,european,100,XCBO,SPX,as_of
2025-01-14,put,20,selected,O:SPXW250114P05805000,SPX,2025-01-14,5805,5807.14,5827.14,-22.140000000000327,european,100,XCBO,SPX,as_of
2025-01-14,put,25,selected,O:SPXW250114P05800000,SPX,2025-01-14,5800,5802.14,5827.14,-27.140000000000327,european,100,XCBO,SPX,as_of
