rq2_min_predicted_move_bps,strategy,otm_offset_points,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,sharpe_style_per_trade,sortino_style_per_trade,median_capital_at_risk_usd,mean_capital_at_risk_usd,near_total_loss_rate
20,MeanReversion60m,0.0,17,0.6470588235294118,9691.400000000001,570.0823529411765,252.99999999999997,0.5590996505727012,0.5004945598417408,3.0528277907223047,-1604.0,0.40310409528427577,0.6112517634265413,926.5500000000001,983.0647058823529,0.29411764705882354
20,MeanReversion60m,5.0,17,0.47058823529411764,7039.05,414.06176470588235,-80.49999999999999,0.548578537530761,-0.17000742390497403,2.577590264237209,-1610.3000000000002,0.3439684072085261,0.7081962838333098,675.5999999999999,753.6088235294118,0.29411764705882354
20,MeanReversion60m,10.0,17,0.47058823529411764,5333.5,313.7352941176471,-198.00000000000003,0.4860310605786914,-0.2646229739252996,2.3090110321638506,-1820.9499999999998,0.2561709546261464,0.5245818650134352,488.7,567.2470588235294,0.47058823529411764
20,MeanReversion60m,15.0,17,0.35294117647058826,2682.3999999999996,157.7882352941176,-150.00000000000003,0.2931565672471046,-0.6023094315245477,1.728072199226437,-1511.9999999999998,0.14967254490275936,0.33063557111766795,358.5,428.4823529411765,0.47058823529411764
20,MeanReversion60m,20.0,17,0.23529411764705882,1112.2000000000007,65.42352941176475,-210.00000000000003,0.05978326655098087,-1.002255299954894,1.297212794954705,-1829.8500000000001,0.029205172279338165,0.06266430977170492,269.25,328.2235294117647,0.7058823529411765
20,MeanReversion60m,25.0,17,0.17647058823529413,515.9499999999999,30.349999999999994,-173.00000000000003,-0.0793654522028542,-1.0074441687344913,1.155727932632087,-1621.5,-0.038750772747620316,-0.07999935178378079,186.5,248.45294117647063,0.7647058823529411
20,MeanReversion60m,30.0,17,0.11764705882352941,-152.39999999999998,-8.96470588235294,-123.00000000000001,-0.41557037502586486,-1.0102389078498293,0.9430599663739958,-1402.5,-0.25381275103232936,-0.4188427320794622,131.5,193.52941176470588,0.8235294117647058
20,RQ1_ML,0.0,17,0.6470588235294118,9551.0,561.8235294117648,253.50000000000006,0.5348464936547819,0.3170731707317074,2.843199691224007,-2143.2000000000007,0.37681160787885254,0.5637247985765843,946.4999999999999,1013.4529411764706,0.29411764705882354
20,RQ1_ML,5.0,17,0.5294117647058824,7485.900000000001,440.34705882352944,20.000000000000043,0.6019278378467822,0.03584229390681011,2.606623170365283,-2109.5,0.36707147683912433,0.7048092520793336,679.8000000000001,772.1382352941176,0.35294117647058826
20,RQ1_ML,10.0,17,0.47058823529411764,5721.200000000001,336.54117647058825,-138.0,0.5622873704495098,-0.2646229739252996,2.391004133236081,-1858.0,0.29591382039017294,0.631840527065751,505.5,577.0588235294117,0.4117647058823529
20,RQ1_ML,15.0,17,0.35294117647058826,3011.8999999999996,177.1705882352941,-151.5,0.3679781567347212,-0.6023094315245477,1.803119792013866,-1851.5,0.186344378356188,0.4151589751330596,369.0,428.95294117647063,0.47058823529411764
20,RQ1_ML,20.0,17,0.29411764705882354,1522.3000000000006,89.54705882352945,-193.0,0.15052301789288583,-1.0026881720430108,1.43863996542285,-1742.25,0.07390920644215247,0.1568803394156207,258.75,323.01176470588234,0.6470588235294118
20,RQ1_ML,25.0,17,0.17647058823529413,657.4499999999999,38.673529411764704,-173.00000000000003,-0.06928199108719456,-1.0080428954423593,1.2072895811328486,-1507.0,-0.03389914754348662,-0.07063205580649952,181.5,241.60000000000005,0.7647058823529411
20,RQ1_ML,30.0,17,0.11764705882352941,-18.64999999999999,-1.0970588235294112,-123.00000000000001,-0.4161695506252301,-1.0114068441064639,0.9926654212958411,-1292.75,-0.2541387527181109,-0.41913511003770954,126.5,185.66176470588235,0.8235294117647058
25,MeanReversion60m,0.0,8,0.625,7388.099999999999,923.5124999999999,519.2499999999999,0.7516612302878718,0.5202069876688196,5.546523076923077,-1625.0,0.4887959015152911,0.9181673561411232,920.25,1066.06875,0.25
25,MeanReversion60m,5.0,8,0.5,5419.900000000001,677.4875000000001,198.50000000000003,0.6921139852317719,0.3845343235648334,4.037890252788521,-1411.1000000000004,0.4242645307249621,0.9137585353903257,695.55,833.8875,0.25
25,MeanReversion60m,10.0,8,0.5,4590.900000000001,573.8625000000001,48.875,0.6645599918019995,0.21033683633915592,3.90296879446078,-1205.9499999999998,0.35121769228153893,0.7656197950798438,506.025,641.475,0.375
25,MeanReversion60m,15.0,8,0.375,2872.3,359.0375,-78.37500000000001,0.45817762452861965,-0.3127826227390181,2.793338120063684,-855.75,0.2301114873985804,0.5555471617337246,369.0,496.83750000000003,0.375
25,MeanReversion60m,20.0,8,0.25,1939.8000000000006,242.47500000000008,-227.25,0.2151191044822247,-0.9455155629076113,1.9823015571591345,-1163.25,0.09818935630861834,0.2219342252699568,277.125,395.025,0.75
25,MeanReversion60m,25.0,8,0.25,1781.1,222.6375,-168.0,0.30430554058487036,-1.0074441687344913,2.0719831477580497,-1072.5,0.12309141468144405,0.30128452250120863,201.5,302.19375,0.75
25,MeanReversion60m,30.0,8,0.25,1168.1,146.0125,-125.5,0.2042286757295515,-1.009623958429419,1.8614306784660766,-907.0,0.08891805372243154,0.2009177222951496,156.5,244.125,0.75
25,RQ1_ML,0.0,8,0.625,5435.15,679.39375,188.50000000000006,0.5506231469230929,0.18996152175262215,2.8636184402269884,-1921.1999999999998,0.3360646424663082,0.5497714509541732,996.375,1111.875,0.375
25,RQ1_ML,5.0,8,0.5,3916.4,489.55,-176.50000000000003,0.5084168182739705,-0.09230343933501106,2.5065394676104016,-1478.1,0.29943175284719253,0.5812073044876349,757.5,874.575,0.375
25,RQ1_ML,10.0,8,0.375,3617.7,452.2125,-316.50000000000006,0.4958823342164653,-0.44557182759525316,2.6474043715846993,-1303.0,0.25426539546674537,0.5943935363543691,542.25,669.5625,0.375
25,RQ1_ML,15.0,8,0.25,2326.2000000000003,290.77500000000003,-307.5,0.3210797302305691,-0.8031757343556449,2.1020727229657705,-1118.5,0.15615291148389895,0.37496455091936853,370.05,512.85,0.5
25,RQ1_ML,20.0,8,0.25,1834.0500000000006,229.25625000000008,-227.25,0.20297199634466723,-0.9992394160295541,1.881542898341745,-1182.75,0.09233714003359966,0.2060711585204397,264.0,404.49375,0.75
25,RQ1_ML,25.0,8,0.25,1743.1,217.8875,-168.0,0.3064842330087221,-1.0082644628099173,2.025654604295381,-1052.5,0.12403982513068829,0.30432910976783795,181.5,306.94375,0.75
25,RQ1_ML,30.0,8,0.25,1160.1,145.0125,-123.00000000000001,0.20824759612728916,-1.0114233592494462,1.8505131964809383,-897.0,0.09076617522702056,0.2059828662046282,131.5,245.125,0.75
30,MeanReversion60m,0.0,2,0.5,-782.4999999999998,-391.2499999999999,-391.2499999999999,-0.46940425100958316,-0.46940425100958316,0.13631346578366454,-905.9999999999998,-0.6236098776416752,-0.468627091653607,1434.7499999999998,1434.7499999999998,0.5
30,MeanReversion60m,5.0,2,0.0,-1050.1,-525.05,-525.05,-0.6113347106223416,-0.6113347106223416,0.0,-677.0999999999998,-1.1058964258878385,-0.8425020097948661,1183.8,1183.8,0.5
30,MeanReversion60m,10.0,2,0.0,-851.0,-425.5,-425.5,-0.6338937654436625,-0.6338937654436625,0.0,-475.4999999999999,-1.2138262499832706,-0.8640757283753627,946.5,946.5,0.5
30,MeanReversion60m,15.0,2,0.0,-1084.9,-542.45,-542.45,-0.8033769379844962,-0.8033769379844962,0.0,-339.0000000000001,-2.825286346358898,-0.9700790313667856,787.95,787.95,0.5
30,MeanReversion60m,20.0,2,0.0,-1156.5,-578.25,-578.25,-0.9455900587632757,-0.9455900587632757,0.0,-244.4999999999999,-11.036686242773534,-0.997953894117436,636.75,636.75,1.0
30,MeanReversion60m,25.0,2,0.0,-1042.5,-521.25,-521.25,-1.0023685959410764,-1.0023685959410764,0.0,-173.0000000000001,-111.13332265284582,-0.9999797587082614,522.25,522.25,1.0
