checkpoint,trades,mean_pnl_usd,median_pnl_usd,total_pnl_usd,mean_return_on_premium,median_return_on_premium,win_rate
15:05,17,21.888235294117628,-32.00000000000009,372.0999999999997,0.013232600378799506,-0.039595959595959844,0.4117647058823529
15:10,17,75.59117647058827,12.500000000000114,1285.0500000000006,0.02394027109463533,0.01697216564833688,0.5294117647058824
15:15,17,71.00882352941184,-15.00000000000001,1207.1500000000012,0.03972059534594668,-0.020661157024793403,0.47058823529411764
15:20,17,68.21470588235299,44.50000000000006,1159.6500000000008,0.043439939323531254,0.05565978736710451,0.5882352941176471
15:30,17,87.05294117647065,112.29999999999995,1479.900000000001,0.08110430466579803,0.15468319559228644,0.6470588235294118
15:40,17,278.25588235294117,298.50000000000017,4730.35,0.2546098448690453,0.26590330788804084,0.5882352941176471
15:45,17,501.71764705882356,355.0,8529.2,0.4593939110036007,0.19966921119592887,0.6470588235294118
15:50,17,482.5,338.05,8202.5,0.4703850615717997,0.3867684478371503,0.5882352941176471
15:55,17,576.2735294117647,529.0000000000001,9796.65,0.5455000615465624,0.46969942258917485,0.6470588235294118
15:59,17,561.8235294117648,253.50000000000006,9551.0,0.5348464936547819,0.3170731707317074,0.6470588235294118
