session_date,ticker,option_type,otm_offset_points,bars_1455_1600,has_1500_1505_bar,has_1550_1600_bar,first_bar_et,last_bar_et,total_volume_window,quality_status
2024-12-20,O:SPX241220C05675000,call,0,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,5,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,10,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,15,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,20,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,25,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220C05675000,call,30,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,0,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,5,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,10,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,15,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,20,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,25,0,False,False,,,0,no_bars
2024-12-20,O:SPX241220P05675000,put,30,0,False,False,,,0,no_bars
2025-01-02,O:SPXW250102C05845000,call,0,63,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,1479,usable
2025-01-02,O:SPXW250102C05850000,call,5,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,4455,usable
2025-01-02,O:SPXW250102C05855000,call,10,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,4280,usable
2025-01-02,O:SPXW250102C05860000,call,15,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,9471,usable
2025-01-02,O:SPXW250102C05865000,call,20,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,12647,usable
2025-01-02,O:SPXW250102C05870000,call,25,66,True,True,2025-01-02 14:55:00-05:00,2025-01-02 16:00:00-05:00,25245,usable
2025-01-02,O:SPXW250102C05875000,call,30,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,23352,usable
2025-01-02,O:SPXW250102P05845000,put,0,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,13807,usable
2025-01-02,O:SPXW250102P05840000,put,5,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,13090,usable
2025-01-02,O:SPXW250102P05835000,put,10,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,9770,usable
2025-01-02,O:SPXW250102P05830000,put,15,64,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,10497,usable
2025-01-02,O:SPXW250102P05825000,put,20,64,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,4758,usable
2025-01-02,O:SPXW250102P05820000,put,25,65,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:59:00-05:00,4700,usable
2025-01-02,O:SPXW250102P05815000,put,30,58,True,True,2025-01-02 14:55:00-05:00,2025-01-02 15:58:00-05:00,3213,usable
2025-01-14,O:SPXW250114C05825000,call,0,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,14289,usable
2025-01-14,O:SPXW250114C05830000,call,5,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,22281,usable
2025-01-14,O:SPXW250114C05835000,call,10,66,True,True,2025-01-14 14:55:00-05:00,2025-01-14 16:00:00-05:00,21614,usable
2025-01-14,O:SPXW250114C05840000,call,15,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,29458,usable
2025-01-14,O:SPXW250114C05845000,call,20,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,18226,usable
2025-01-14,O:SPXW250114C05850000,call,25,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,15981,usable
2025-01-14,O:SPXW250114C05855000,call,30,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,9086,usable
2025-01-14,O:SPXW250114P05825000,put,0,66,True,True,2025-01-14 14:55:00-05:00,2025-01-14 16:00:00-05:00,17013,usable
2025-01-14,O:SPXW250114P05820000,put,5,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,22987,usable
2025-01-14,O:SPXW250114P05815000,put,10,64,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:58:00-05:00,21682,usable
2025-01-14,O:SPXW250114P05810000,put,15,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,19797,usable
2025-01-14,O:SPXW250114P05805000,put,20,65,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,13736,usable
2025-01-14,O:SPXW250114P05800000,put,25,64,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,24923,usable
2025-01-14,O:SPXW250114P05795000,put,30,63,True,True,2025-01-14 14:55:00-05:00,2025-01-14 15:59:00-05:00,11179,usable
2025-04-02,O:SPXW250402C05635000,call,0,63,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:58:00-04:00,1791,usable
2025-04-02,O:SPXW250402C05640000,call,5,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,4818,usable
2025-04-02,O:SPXW250402C05645000,call,10,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,5092,usable
2025-04-02,O:SPXW250402C05650000,call,15,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,11490,usable
2025-04-02,O:SPXW250402C05655000,call,20,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,7380,usable
2025-04-02,O:SPXW250402C05660000,call,25,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,14370,usable
2025-04-02,O:SPXW250402C05665000,call,30,65,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,13205,usable
2025-04-02,O:SPXW250402P05635000,put,0,62,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:57:00-04:00,11950,usable
2025-04-02,O:SPXW250402P05630000,put,5,64,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,14527,usable
2025-04-02,O:SPXW250402P05625000,put,10,63,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:58:00-04:00,7915,usable
2025-04-02,O:SPXW250402P05620000,put,15,62,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:57:00-04:00,11212,usable
2025-04-02,O:SPXW250402P05615000,put,20,60,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:56:00-04:00,6872,usable
2025-04-02,O:SPXW250402P05610000,put,25,62,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:58:00-04:00,6933,usable
2025-04-02,O:SPXW250402P05605000,put,30,58,True,True,2025-04-02 14:55:00-04:00,2025-04-02 15:59:00-04:00,5111,usable
2025-04-11,O:SPXW250411C05340000,call,0,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,1271,usable
2025-04-11,O:SPXW250411C05345000,call,5,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,1607,usable
2025-04-11,O:SPXW250411C05350000,call,10,66,True,True,2025-04-11 14:55:00-04:00,2025-04-11 16:00:00-04:00,4456,usable
2025-04-11,O:SPXW250411C05355000,call,15,66,True,True,2025-04-11 14:55:00-04:00,2025-04-11 16:00:00-04:00,4514,usable
2025-04-11,O:SPXW250411C05360000,call,20,66,True,True,2025-04-11 14:55:00-04:00,2025-04-11 16:00:00-04:00,7761,usable
2025-04-11,O:SPXW250411C05365000,call,25,66,True,True,2025-04-11 14:55:00-04:00,2025-04-11 16:00:00-04:00,9740,usable
2025-04-11,O:SPXW250411C05370000,call,30,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,12282,usable
2025-04-11,O:SPXW250411P05340000,put,0,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,11063,usable
2025-04-11,O:SPXW250411P05335000,put,5,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,3309,usable
2025-04-11,O:SPXW250411P05330000,put,10,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,6075,usable
2025-04-11,O:SPXW250411P05325000,put,15,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,4099,usable
2025-04-11,O:SPXW250411P05320000,put,20,65,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,5679,usable
2025-04-11,O:SPXW250411P05315000,put,25,64,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,3768,usable
2025-04-11,O:SPXW250411P05310000,put,30,64,True,True,2025-04-11 14:55:00-04:00,2025-04-11 15:59:00-04:00,4251,usable
2025-04-14,O:SPXW250414C05425000,call,0,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,8646,usable
2025-04-14,O:SPXW250414C05430000,call,5,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,13331,usable
2025-04-14,O:SPXW250414C05435000,call,10,64,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,10272,usable
2025-04-14,O:SPXW250414C05440000,call,15,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,14070,usable
2025-04-14,O:SPXW250414C05445000,call,20,64,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:58:00-04:00,9243,usable
2025-04-14,O:SPXW250414C05450000,call,25,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,23642,usable
2025-04-14,O:SPXW250414C05455000,call,30,63,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,9675,usable
2025-04-14,O:SPXW250414P05425000,put,0,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,9199,usable
2025-04-14,O:SPXW250414P05420000,put,5,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,15599,usable
2025-04-14,O:SPXW250414P05415000,put,10,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,10568,usable
2025-04-14,O:SPXW250414P05410000,put,15,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,12590,usable
2025-04-14,O:SPXW250414P05405000,put,20,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,12142,usable
2025-04-14,O:SPXW250414P05400000,put,25,66,True,True,2025-04-14 14:55:00-04:00,2025-04-14 16:00:00-04:00,20467,usable
2025-04-14,O:SPXW250414P05395000,put,30,65,True,True,2025-04-14 14:55:00-04:00,2025-04-14 15:59:00-04:00,8131,usable
2025-04-17,O:SPX250417C05270000,call,0,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,5,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,10,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,15,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,20,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,25,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417C05270000,call,30,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,0,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,5,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,10,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,15,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,20,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,25,0,False,False,,,0,no_bars
2025-04-17,O:SPX250417P05270000,put,30,0,False,False,,,0,no_bars
2025-05-07,O:SPXW250507C05625000,call,0,65,True,True,2025-05-07 14:55:00-04:00,2025-05-07 16:00:00-04:00,15818,usable
