required_option_type,trades,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,win_rate,median_capital_at_risk_usd
call,8,1640.2499999999995,205.03124999999994,-186.5,0.18321708874578657,0.5,996.375
put,9,7910.750000000001,878.9722222222223,972.0000000000002,0.847405964685,0.7777777777777778,904.4999999999999
