rule,contracts,trades,total_pnl_usd,mean_pnl_usd,median_pnl_usd,win_rate,mean_return_on_initial_premium,median_return_on_initial_premium,median_capital_at_risk_usd,mean_capital_at_risk_usd,profit_factor,max_drawdown_usd,tp1_trade_share,ambiguous_bar_share
1C_HOLD_CLOSE,1,17,9551.0,561.8235294117648,253.5,0.6470588235294118,0.5348464936547819,0.3170731707317073,946.4999999999999,1013.4529411764706,2.843199691224007,-2143.2000000000007,0.0,0.0
1C_STOP50_HOLD_CLOSE,1,17,8529.275,501.7220588235294,-262.0875000000001,0.47058823529411764,0.48288175717384985,-0.5265477439664219,946.4999999999999,1013.4529411764706,2.8894426999396345,-2007.84375,0.0,0.0
2C_TP100_RUNNER_BE,2,17,11729.905,689.9944117647059,247.00000000000045,0.5294117647058824,0.33286258932323454,0.06284987277353701,1892.9999999999998,2026.9058823529413,2.469823115442509,-3850.3875000000007,0.47058823529411764,0.0
2C_TP100_RUNNER_CLOSE,2,17,11554.98625,679.7050735294117,247.00000000000045,0.5294117647058824,0.3298169625129153,0.06284987277353701,1892.9999999999998,2026.9058823529413,2.447904811579493,-3553.9874999999993,0.47058823529411764,0.0
2C_TP100_RUNNER_TRAIL25,2,17,10258.592499999999,603.4466176470587,247.00000000000045,0.5294117647058824,0.2777209085675344,0.06284987277353701,1892.9999999999998,2026.9058823529413,2.285459378264799,-3452.1000000000004,0.47058823529411764,0.0
3C_TP50_TP100_RUNNER_CLOSE,3,17,12556.033750000002,738.5902205882354,784.7999999999997,0.5294117647058824,0.2300705394242444,0.18294953350296866,2839.4999999999995,3040.358823529412,2.1359810233052587,-4561.481250000003,0.5882352941176471,0.0
