strategy,policy,otm_offset_points,trades,win_rate,total_pnl_usd,mean_pnl_usd,median_pnl_usd,mean_return_on_premium,median_return_on_premium,profit_factor,max_drawdown_usd,median_holding_minutes,mean_holding_minutes,near_total_loss_rate,mean_mfe,mean_mae,ambiguous_bar_rate
MeanReversion60m,breakeven_after_50,0,17,0.11764705882352941,697.34625,41.020367647058826,-77.07749999999993,0.012768934538666066,-0.05402892561983476,1.190437909186149,-2218.3912499999997,20.0,22.647058823529413,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,breakeven_after_50,5,17,0.11764705882352941,391.6624999999999,23.038970588235287,-87.525,-0.021822094735141954,-0.05924170616113751,1.1337628018766834,-1878.8475000000003,12.0,21.0,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,breakeven_after_50,10,17,0.058823529411764705,-1406.7437500000003,-82.74963235294119,-73.87500000000003,-0.20778636314422758,-0.0661577608142494,0.34120969984340926,-1626.8062499999999,11.0,18.11764705882353,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,breakeven_after_50,15,17,0.0,-1721.36,-101.25647058823529,-86.50000000000001,-0.30561839951802156,-0.35091743119266045,0.0,-1550.8599999999997,10.0,14.529411764705882,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,breakeven_after_50,20,17,0.0,-1163.0025,-68.41191176470589,-54.449999999999996,-0.32208766528135224,-0.38279569892473125,0.0,-1042.3775,10.0,16.0,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,breakeven_after_50,25,17,0.0,-1025.4200000000003,-60.31882352941178,-46.57500000000005,-0.3831939736015699,-0.5607940446650125,0.0,-937.4200000000001,8.0,12.176470588235293,0.0,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,breakeven_after_50,30,17,0.0,-778.375,-45.786764705882355,-40.80000000000001,-0.41611235820382464,-0.583617747440273,0.0,-715.375,10.0,15.470588235294118,0.058823529411764705,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,hold_to_close,0,17,0.6470588235294118,9691.400000000001,570.0823529411765,252.99999999999997,0.5590996505727012,0.5004945598417408,3.0528277907223047,-1604.0,59.0,58.94117647058823,0.29411764705882354,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,hold_to_close,5,17,0.47058823529411764,7039.05,414.06176470588235,-80.49999999999999,0.548578537530761,-0.17000742390497403,2.577590264237209,-1610.3000000000002,59.0,58.76470588235294,0.29411764705882354,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,hold_to_close,10,17,0.47058823529411764,5333.5,313.7352941176471,-198.00000000000003,0.4860310605786914,-0.2646229739252996,2.3090110321638506,-1820.9499999999998,59.0,59.0,0.47058823529411764,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,hold_to_close,15,17,0.35294117647058826,2682.3999999999996,157.7882352941176,-150.00000000000003,0.2931565672471046,-0.6023094315245477,1.728072199226437,-1511.9999999999998,59.0,58.94117647058823,0.47058823529411764,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,hold_to_close,20,17,0.23529411764705882,1112.2000000000007,65.42352941176475,-210.00000000000003,0.05978326655098087,-1.002255299954894,1.297212794954705,-1829.8500000000001,59.0,59.0,0.7058823529411765,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,hold_to_close,25,17,0.17647058823529413,515.9499999999999,30.349999999999994,-173.00000000000003,-0.0793654522028542,-1.0074441687344913,1.155727932632087,-1621.5,59.0,58.8235294117647,0.7647058823529411,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,hold_to_close,30,17,0.11764705882352941,-152.39999999999998,-8.96470588235294,-123.00000000000001,-0.41557037502586486,-1.0102389078498293,0.9430599663739958,-1402.5,59.0,58.64705882352941,0.8235294117647058,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,stop40_tp80,0,17,0.4117647058823529,1943.9789999999998,114.35170588235293,-314.535,0.036049732465441874,-0.432488114104596,1.5189068724272092,-1912.0814999999998,12.0,12.529411764705882,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop40_tp80,5,17,0.4117647058823529,1783.9065,104.93567647058823,-210.68999999999997,0.03479034472562971,-0.4332914046121593,1.6458687127006204,-1477.3814999999997,9.0,11.117647058823529,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,stop40_tp80,10,17,0.35294117647058826,1373.0065000000002,80.76508823529413,-147.48000000000002,-0.03543043680299656,-0.4346587537091989,1.661508642090107,-1319.9479999999999,8.0,9.411764705882353,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,stop40_tp80,15,17,0.35294117647058826,1309.9345,77.05497058823529,-103.30000000000001,-0.0426578235239282,-0.4363821138211383,1.8884525908844274,-940.1600000000001,7.0,8.705882352941176,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,stop40_tp80,20,17,0.35294117647058826,1195.8804999999998,70.34591176470587,-73.0,-0.05750968232382391,-0.4451730418943534,2.1118781088745293,-690.1500000000001,3.0,7.529411764705882,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,stop40_tp80,25,17,0.35294117647058826,987.6669999999999,58.098058823529406,-51.0,-0.07972814519696231,-0.4615384615384616,2.229665089641434,-523.1999999999999,3.0,7.0588235294117645,0.0,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,stop40_tp80,30,17,0.29411764705882354,331.3949999999999,19.49382352941176,-46.99999999999999,-0.17999491164925963,-0.48464163822525586,1.4072467419154653,-405.3999999999999,1.0,5.647058823529412,0.058823529411764705,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,stop50_only,0,17,0.35294117647058826,6380.911249999999,375.34772058823523,-427.4625000000001,0.32374232301760564,-0.5273375594294771,2.2332196520662295,-2540.7512500000003,42.0,34.64705882352941,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop50_only,5,17,0.23529411764705882,2968.6450000000004,174.62617647058826,-333.75,0.10848579467747509,-0.5282546337157987,1.662414050480246,-1834.8400000000001,35.0,31.41176470588235,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,stop50_only,10,17,0.23529411764705882,3170.3737499999997,186.49257352941174,-234.52500000000003,0.13938925818091955,-0.5293768545994064,1.9402263023991109,-1338.10875,31.0,30.176470588235293,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,stop50_only,15,17,0.11764705882352941,1340.4837500000003,78.85198529411767,-175.75,-0.024369180758748107,-0.5331978319783198,1.4329075926469406,-1403.3,23.0,25.88235294117647,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,stop50_only,20,17,0.17647058823529413,1766.8100000000004,103.93000000000002,-120.625,0.008285172339869872,-0.5454967502321263,1.7665984015550562,-1134.74,16.0,26.529411764705884,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,stop50_only,25,17,0.11764705882352941,1511.5874999999996,88.91691176470586,-98.0,-0.01860910501229493,-0.5656836461126005,1.7827952952142982,-923.6875,12.0,22.764705882352942,0.0,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,stop50_only,30,17,0.11764705882352941,988.1625000000001,58.127205882352946,-73.0,-0.09686398498836632,-0.5931558935361216,1.6433611393692777,-772.4375,16.0,25.647058823529413,0.058823529411764705,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,stop50_tp100,0,17,0.47058823529411764,2103.86875,123.75698529411765,-355.80000000000007,0.09193029764920135,-0.5272868217054264,1.5044733137290223,-1822.5512500000004,21.0,23.176470588235293,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop50_tp100,5,17,0.35294117647058826,641.1800000000001,37.716470588235296,-328.2375,-0.008625446649098511,-0.5280922431865829,1.1737306792425735,-1383.8400000000001,12.0,19.294117647058822,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,stop50_tp100,10,17,0.47058823529411764,3009.77125,177.0453676470588,-141.62500000000003,0.137722047468401,-0.5292275723703066,2.438953667309902,-746.5674999999997,11.0,12.941176470588236,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,stop50_tp100,15,17,0.4117647058823529,1919.0925,112.88779411764706,-125.875,0.04669306622395445,-0.5322793148880106,2.11273510034572,-962.0374999999999,8.0,11.882352941176471,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,stop50_tp100,20,17,0.4117647058823529,2027.22,119.24823529411765,-58.00000000000001,0.02910653758618486,-0.5446265938069217,2.782367293109133,-534.875,10.0,10.823529411764707,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,stop50_tp100,25,17,0.35294117647058826,1306.6799999999998,76.8635294117647,-60.49999999999999,-0.07689967807426071,-0.5607940446650125,2.349527498063517,-631.25,7.0,10.117647058823529,0.0,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,stop50_tp100,30,17,0.4117647058823529,1370.25,80.6029411764706,-36.5,-0.023978470254456572,-0.583617747440273,3.1544811320754715,-309.5,10.0,10.529411764705882,0.058823529411764705,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,stop60_tp120,0,17,0.5294117647058824,4092.0145000000016,240.70673529411775,123.50000000000006,0.2212204572556897,0.06284987277353693,1.9328931439892216,-1178.4700000000003,21.0,26.235294117647058,0.0,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,stop60_tp120,5,17,0.4117647058823529,1788.8995000000007,105.22938235294122,-373.0000000000001,0.10258803385149037,-0.6228267103646047,1.448941627784649,-1624.0419999999997,21.0,25.529411764705884,0.0,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,stop60_tp120,10,17,0.4117647058823529,1438.8490000000006,84.63817647058828,-271.29999999999995,0.0965702208265633,-0.6237808219178081,1.4838716620196886,-1216.62,17.0,20.764705882352942,0.0,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,stop60_tp120,15,17,0.35294117647058826,343.67800000000074,20.216352941176513,-183.1,-0.0343384178031059,-0.6318840579710145,1.1235221854583124,-1009.678,12.0,18.941176470588236,0.0,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,stop60_tp120,20,17,0.35294117647058826,738.6695000000004,43.45114705882355,-102.99999999999999,-0.05170429799912123,-0.64408014571949,1.3730974376587892,-820.9300000000001,13.0,19.176470588235293,0.0,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,stop60_tp120,25,17,0.4117647058823529,2043.8280000000007,120.22517647058828,-52.0,0.027147622260738184,-0.6600496277915632,3.0953742054541733,-466.4000000000001,11.0,13.235294117647058,0.058823529411764705,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,stop60_tp120,30,17,0.35294117647058826,1425.0750000000003,83.8279411764706,-53.8,-0.10618859514170116,-0.68259385665529,2.6900794592030364,-464.4000000000001,11.0,13.705882352941176,0.11764705882352941,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,time_exit_1530,0,17,0.5882352941176471,1856.1500000000005,109.18529411764709,112.29999999999995,0.06748266354212733,0.15468319559228644,1.4636897327004745,-1540.5000000000002,30.0,30.0,0.23529411764705882,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,time_exit_1530,5,17,0.5294117647058824,1934.15,113.77352941176471,93.49999999999999,0.07222713748367751,0.19298245614035084,1.6108742340976565,-1220.3000000000002,30.0,30.0,0.23529411764705882,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,time_exit_1530,10,17,0.5294117647058824,1682.25,98.95588235294117,43.849999999999966,0.06330118406550561,0.1299259259259258,1.7025034973795752,-892.95,30.0,30.0,0.23529411764705882,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,time_exit_1530,15,17,0.5294117647058824,1331.85,78.34411764705882,7.800000000000054,0.03582242805458481,0.03432343234323457,1.7615358225170106,-617.25,30.0,30.0,0.23529411764705882,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,time_exit_1530,20,17,0.47058823529411764,942.7499999999998,55.45588235294116,-16.00000000000001,-0.018868426768175683,-0.10561056105610568,1.7045964125560538,-511.5,30.0,30.0,0.23529411764705882,2.2246944970187834,-0.8416861100476586,0.0
MeanReversion60m,time_exit_1530,25,17,0.35294117647058826,599.3,35.252941176470586,-20.999999999999993,-0.08829991608214541,-0.21761658031088074,1.5795097423004396,-446.15,30.0,30.0,0.29411764705882354,2.243574622048274,-0.8646610925399099,0.0
MeanReversion60m,time_exit_1530,30,17,0.35294117647058826,284.7499999999999,16.749999999999993,-25.999999999999986,-0.14499464987923516,-0.3741007194244602,1.3481051344743276,-380.00000000000006,30.0,30.0,0.29411764705882354,2.053674877078664,-0.8758306201252342,0.0
MeanReversion60m,time_exit_1545,0,17,0.47058823529411764,4570.95,268.8794117647059,-91.49999999999997,0.2367411868089,-0.11010830324909744,1.7689635449085679,-1943.7000000000003,45.0,45.0,0.29411764705882354,1.5668738389956955,-0.5995396058190984,0.0
MeanReversion60m,time_exit_1545,5,17,0.4117647058823529,4387.650000000001,258.09705882352944,-168.49999999999994,0.29161595500745496,-0.2624610591900311,1.888700971208086,-1664.0,45.0,45.0,0.35294117647058826,1.8156300700561425,-0.6538360311261906,0.0
MeanReversion60m,time_exit_1545,10,17,0.4117647058823529,3949.8500000000004,232.34411764705885,-195.69999999999996,0.3041821980760253,-0.4004501739308368,2.0170327265236763,-1343.35,45.0,45.0,0.35294117647058826,2.0263328132747596,-0.719338226767015,0.0
MeanReversion60m,time_exit_1545,15,17,0.35294117647058826,3178.8,186.98823529411766,-150.00000000000003,0.3071614779668702,-0.6561264822134387,2.0388235294117645,-1144.85,45.0,45.0,0.4117647058823529,2.174418225781013,-0.7730331489800308,0.0
MeanReversion60m,time_exit_1545,20,17,0.35294117647058826,2354.7000000000003,138.51176470588237,-110.50000000000011,0.21746367249560516,-0.7947368421052632,1.9581298828125002,-1018.3500000000001,45.0,45.0,0.47058823529411764,2.2246944970187834,-0.8416861100476586,0.0
