rule,contracts,hypothetical_account_usd,median_position_exposure_pct,mean_position_exposure_pct,max_position_exposure_pct,share_positions_affordable,share_positions_over_25pct_account,share_positions_over_50pct_account
1C_HOLD_CLOSE,1,2500,0.37859999999999994,0.4053811764705882,0.7859999999999999,1.0,0.9411764705882353,0.17647058823529413
1C_HOLD_CLOSE,1,5000,0.18929999999999997,0.2026905882352941,0.39299999999999996,1.0,0.17647058823529413,0.0
1C_HOLD_CLOSE,1,10000,0.09464999999999998,0.10134529411764705,0.19649999999999998,1.0,0.0,0.0
1C_HOLD_CLOSE,1,25000,0.03786,0.04053811764705883,0.07859999999999999,1.0,0.0,0.0
1C_STOP50_HOLD_CLOSE,1,2500,0.37859999999999994,0.4053811764705882,0.7859999999999999,1.0,0.9411764705882353,0.17647058823529413
1C_STOP50_HOLD_CLOSE,1,5000,0.18929999999999997,0.2026905882352941,0.39299999999999996,1.0,0.17647058823529413,0.0
1C_STOP50_HOLD_CLOSE,1,10000,0.09464999999999998,0.10134529411764705,0.19649999999999998,1.0,0.0,0.0
1C_STOP50_HOLD_CLOSE,1,25000,0.03786,0.04053811764705883,0.07859999999999999,1.0,0.0,0.0
2C_TP100_RUNNER_BE,2,2500,0.7571999999999999,0.8107623529411764,1.5719999999999998,0.8235294117647058,1.0,0.9411764705882353
2C_TP100_RUNNER_BE,2,5000,0.37859999999999994,0.4053811764705882,0.7859999999999999,1.0,0.9411764705882353,0.17647058823529413
2C_TP100_RUNNER_BE,2,10000,0.18929999999999997,0.2026905882352941,0.39299999999999996,1.0,0.17647058823529413,0.0
2C_TP100_RUNNER_BE,2,25000,0.07572,0.08107623529411766,0.15719999999999998,1.0,0.0,0.0
2C_TP100_RUNNER_CLOSE,2,2500,0.7571999999999999,0.8107623529411764,1.5719999999999998,0.8235294117647058,1.0,0.9411764705882353
2C_TP100_RUNNER_CLOSE,2,5000,0.37859999999999994,0.4053811764705882,0.7859999999999999,1.0,0.9411764705882353,0.17647058823529413
2C_TP100_RUNNER_CLOSE,2,10000,0.18929999999999997,0.2026905882352941,0.39299999999999996,1.0,0.17647058823529413,0.0
2C_TP100_RUNNER_CLOSE,2,25000,0.07572,0.08107623529411766,0.15719999999999998,1.0,0.0,0.0
2C_TP100_RUNNER_TRAIL25,2,2500,0.7571999999999999,0.8107623529411764,1.5719999999999998,0.8235294117647058,1.0,0.9411764705882353
2C_TP100_RUNNER_TRAIL25,2,5000,0.37859999999999994,0.4053811764705882,0.7859999999999999,1.0,0.9411764705882353,0.17647058823529413
2C_TP100_RUNNER_TRAIL25,2,10000,0.18929999999999997,0.2026905882352941,0.39299999999999996,1.0,0.17647058823529413,0.0
2C_TP100_RUNNER_TRAIL25,2,25000,0.07572,0.08107623529411766,0.15719999999999998,1.0,0.0,0.0
3C_TP50_TP100_RUNNER_CLOSE,3,2500,1.1358,1.2161435294117648,2.3579999999999997,0.23529411764705882,1.0,1.0
3C_TP50_TP100_RUNNER_CLOSE,3,5000,0.5679,0.6080717647058824,1.1789999999999998,0.9411764705882353,1.0,0.7647058823529411
3C_TP50_TP100_RUNNER_CLOSE,3,10000,0.28395,0.3040358823529412,0.5894999999999999,1.0,0.7647058823529411,0.058823529411764705
3C_TP50_TP100_RUNNER_CLOSE,3,25000,0.11357999999999999,0.12161435294117645,0.23579999999999995,1.0,0.0,0.0
