top_n_trades,top_n_pnl_usd,share_of_net_total_pnl,share_of_total_positive_pnl
1,3977.95,0.4164956549052455,0.2700072966689857
2,7002.599999999999,0.733179771751649,0.4753084115321307
3,9125.099999999999,0.9554078107004501,0.6193752015068468
5,11694.449999999999,1.2244215265417233,0.7937723778656393
