dataset_variant,rows,feature_missing_values,up_pct,down_pct,mean_final_hour_return,final_hour_return_std
strict,434,0,49.76958525345622,50.23041474654379,-3.3238184051273146e-05,0.0030975835570841983
relaxed,486,0,49.382716049382715,50.617283950617285,-2.1374487538484592e-05,0.0029640702153129967
