dataset_variant,data_split,sessions,first_date,last_date,up_sessions,down_sessions,mean_final_hour_return,final_hour_return_std
strict,Train,303,2024-07-18,2025-12-03,147,156,-7.985527839400364e-05,0.0033072085313161927
strict,Validation,65,2025-12-04,2026-03-20,29,36,-2.4144169514331935e-05,0.0027613389927245583
strict,Test,66,2026-03-23,2026-07-17,40,26,0.00017182043172063834,0.0023535340913855575
relaxed,Train,334,2024-07-18,2025-12-03,158,176,-7.594037975004434e-05,0.003179355228048843
relaxed,Validation,71,2025-12-04,2026-03-20,32,39,-6.15848901967554e-05,0.00264791298879103
relaxed,Test,81,2026-03-23,2026-07-17,50,31,0.00023887176662692507,0.0022293787960174782
