task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.44565217391304346,0.44739359158297465,0.3958333333333333,0.4634146341463415,0.42696629213483145,-0.10468843498788973,0.43376374940219986,0.43518869894005646,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5,0.5331069609507639,0.5319444444444444,"{""model__C"": 1.3929289973169994, ""model__l1_ratio"": 0.2755587766489521}"
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.5217391304347826,0.5211200759373518,0.5531914893617021,0.5306122448979592,0.5416666666666666,0.042160189376352776,0.5173232083531087,0.6229553028004166,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5,0.5071790540540541,0.50716011042098,"{""model__C"": 0.3790418194984764, ""model__l1_ratio"": 0.05889892137207742}"
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.4891304347826087,0.5180311890838207,0.4262295081967213,0.6842105263157895,0.5252525252525253,0.0375662009305724,0.5560428849902534,0.48154711305145936,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.48886002248572846,0.5533812815243788,0.5198877399446401,"{""model__C"": 1.0116274789358148, ""model__l1_ratio"": 0.40679253808829374}"
RQ1 Direction,Strict,Full,Extra Trees,0.43478260869565216,0.45911047345767575,0.417910447761194,0.6829268292682927,0.5185185185185185,-0.09137169644876529,0.5351506456241033,0.5279376533297738,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.49943709705685513,0.5547538200339559,0.5138888888888888,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 18, ""model__n_estimators"": 318}"
RQ1 Direction,Strict,Full,Extra Trees,0.45652173913043476,0.4712861888941623,0.48,0.24489795918367346,0.32432432432432434,-0.06440887251207127,0.5106786900806835,0.5413210074890457,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5570487013636972,0.5396959459459459,0.5410628019323672,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 7, ""model__n_estimators"": 377}"
RQ1 Direction,Strict,Full,Extra Trees,0.5652173913043478,0.5672514619883041,0.4782608695652174,0.5789473684210527,0.5238095238095238,0.13245323570650436,0.5433723196881092,0.4859133413218645,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.5002100570484349,0.5812161404819727,0.5618095654630918,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 9, ""model__min_samples_split"": 13, ""model__n_estimators"": 270}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.4891304347826087,0.4842180774748924,0.42857142857142855,0.43902439024390244,0.43373493975903615,-0.03149613561567592,0.48684839789574375,0.4758925237099211,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5000000000000002,0.5887096774193548,0.5328282828282829,"{""model__l2_regularization"": 2.195023199828633, ""model__learning_rate"": 0.1478935476178963, ""model__max_bins"": 128, ""model__max_iter"": 180, ""model__max_leaf_nodes"": 9, ""model__min_samples_leaf"": 30}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.5543478260869565,0.5545799715234931,0.5869565217391305,0.5510204081632653,0.5684210526315789,0.10892755023757475,0.5799715234931182,0.6386383185547422,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.4567678838553399,0.6100084459459459,0.5878191856452726,"{""model__l2_regularization"": 0.0011600493912114135, ""model__learning_rate"": 0.09296414147921736, ""model__max_bins"": 128, ""model__max_iter"": 156, ""model__max_leaf_nodes"": 20, ""model__min_samples_leaf"": 26}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.532608695652174,0.5355750487329435,0.44680851063829785,0.5526315789473685,0.49411764705882355,0.07008240414802855,0.5458089668615984,0.4406552316350326,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.4911417738497495,0.6036334765552027,0.6086747388493481,"{""model__l2_regularization"": 0.001888021649054635, ""model__learning_rate"": 0.03780015253359682, ""model__max_bins"": 128, ""model__max_iter"": 178, ""model__max_leaf_nodes"": 9, ""model__min_samples_leaf"": 13}"
RQ1 Direction,Strict,Full,RBF SVC,0.532608695652174,0.4899569583931133,0.4,0.0975609756097561,0.1568627450980392,-0.03207490271411741,0.452415112386418,0.44500165157103666,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.6501857690133528,0.5101867572156197,0.513888888888889,"{""model__C"": 1.7484478274588928, ""model__gamma"": 0.004415927721104793}"
