task,dataset_variant,feature_set,model,mae_bps,rmse_bps,r2,spearman,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,inner_best_search_score,best_parameters
RQ2 Magnitude,Relaxed,Full,Extra Trees,12.434081184887644,17.221923712023955,0.1944985349041718,0.4489458357600466,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.367063023204091,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 6, ""model__min_samples_split"": 11, ""model__n_estimators"": 693}"
RQ2 Magnitude,Relaxed,Full,Histogram Gradient Boosting,21.517798541127803,37.55561602979699,-0.17549031356901557,0.3969795980241937,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.792296953983309,"{""model__l2_regularization"": 0.04010079066211668, ""model__learning_rate"": 0.054372029379012025, ""model__loss"": ""absolute_error"", ""model__max_bins"": 255, ""model__max_iter"": 387, ""model__max_leaf_nodes"": 22, ""model__min_samples_leaf"": 27}"
RQ2 Magnitude,Relaxed,Full,Histogram Gradient Boosting,9.467044115088754,13.09366697337063,-0.1348554715465604,0.3607804309842749,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.623015110517303,"{""model__l2_regularization"": 0.0028801565288714, ""model__learning_rate"": 0.04305499596820688, ""model__loss"": ""absolute_error"", ""model__max_bins"": 255, ""model__max_iter"": 229, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 8}"
RQ2 Magnitude,Relaxed,Full,Histogram Gradient Boosting,12.90444931992966,18.31429245191865,0.08907357148741002,0.40630168899242863,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.48036871859985,"{""model__l2_regularization"": 17.937759028671657, ""model__learning_rate"": 0.051876918809428636, ""model__loss"": ""absolute_error"", ""model__max_bins"": 255, ""model__max_iter"": 313, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 12}"
RQ2 Magnitude,Relaxed,Full,RBF SVR,20.90043499091506,36.83502244762546,-0.1308139362223324,0.4033313919627256,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.684745709031544,"{""model__C"": 6.589651263273643, ""model__epsilon"": 1.1028414922076153, ""model__gamma"": 0.014458986649589233}"
RQ2 Magnitude,Relaxed,Full,RBF SVR,10.343661317481896,12.954763326385358,-0.11090504897916653,0.3135818287711124,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.575847929676451,"{""model__C"": 6.92774627198084, ""model__epsilon"": 6.547643889804258, ""model__gamma"": 0.0067063225215510175}"
RQ2 Magnitude,Relaxed,Full,RBF SVR,12.424236268482023,17.483409210279014,0.16985251268710388,0.3745369831100757,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.502287520689634,"{""model__C"": 6.690921558581586, ""model__epsilon"": 0.08763337482261196, ""model__gamma"": 0.025352249141085578}"
RQ2 Magnitude,Relaxed,Reduced,Ridge Regression,20.481255924578715,30.943696503787496,0.20198021252371157,0.43510774606872454,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.450327500429136,"{""model__alpha"": 25.263282453298586}"
RQ2 Magnitude,Relaxed,Reduced,Ridge Regression,13.252509659474578,16.808342433217188,-0.8701125678657522,0.37344205008736164,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.738483390558715,"{""model__alpha"": 175.05685060386762}"
RQ2 Magnitude,Relaxed,Reduced,Ridge Regression,12.633262045757792,17.880128412777793,0.13175102455553978,0.3821083284799068,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-14.251153943051124,"{""model__alpha"": 345.85752888640803}"
RQ2 Magnitude,Relaxed,Reduced,Elastic Net,20.17383088006395,30.613551359345408,0.2189178714667529,0.4417821782178217,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.259004925146058,"{""model__alpha"": 0.4771285535887599, ""model__l1_ratio"": 0.4450614124896827}"
RQ2 Magnitude,Relaxed,Reduced,Elastic Net,13.791615498327161,16.92427723171616,-0.8959995757201538,0.35924286546301687,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.542894356423394,"{""model__alpha"": 2.588558055379328, ""model__l1_ratio"": 0.7260578185665586}"
RQ2 Magnitude,Relaxed,Reduced,Elastic Net,12.669520683217314,17.929746852870156,0.1269254511376986,0.38775771694816535,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-14.132290227002024,"{""model__alpha"": 1.9025906512182598, ""model__l1_ratio"": 0.06693827118834939}"
RQ2 Magnitude,Relaxed,Reduced,Extra Trees,19.011183449876874,32.87910859648599,0.09903204684989197,0.4801514269073966,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.75676426648066,"{""model__bootstrap"": true, ""model__max_depth"": 5, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 332}"
RQ2 Magnitude,Relaxed,Reduced,Extra Trees,10.649481342880007,13.316240578894629,-0.17376522834878205,0.3709959231217239,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.408934483199774,"{""model__bootstrap"": true, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 6, ""model__n_estimators"": 426}"
RQ2 Magnitude,Relaxed,Reduced,Extra Trees,12.459754947628833,17.234636127777286,0.19330892926184828,0.4575655212580081,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.2029417656672,"{""model__bootstrap"": false, ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 6, ""model__min_samples_split"": 11, ""model__n_estimators"": 693}"
RQ2 Magnitude,Relaxed,Reduced,Histogram Gradient Boosting,21.85463904098626,38.35940985287666,-0.22634625324706037,0.43098299498416764,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.942259881789056,"{""model__l2_regularization"": 0.10320863488740319, ""model__learning_rate"": 0.01722590960047943, ""model__loss"": ""absolute_error"", ""model__max_bins"": 32, ""model__max_iter"": 166, ""model__max_leaf_nodes"": 12, ""model__min_samples_leaf"": 30}"
RQ2 Magnitude,Relaxed,Reduced,Histogram Gradient Boosting,9.049156365326253,12.819093344429914,-0.0877587717447208,0.3380780430984275,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.851765135274027,"{""model__l2_regularization"": 5.96019394075478, ""model__learning_rate"": 0.01758541500772671, ""model__loss"": ""absolute_error"", ""model__max_bins"": 128, ""model__max_iter"": 258, ""model__max_leaf_nodes"": 19, ""model__min_samples_leaf"": 11}"
RQ2 Magnitude,Relaxed,Reduced,Histogram Gradient Boosting,12.777158150111903,17.875473293124816,0.13220306568534546,0.4245311589982527,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.537210420659243,"{""model__l2_regularization"": 17.937759028671657, ""model__learning_rate"": 0.051876918809428636, ""model__loss"": ""absolute_error"", ""model__max_bins"": 255, ""model__max_iter"": 313, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 12}"
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,20.066131210839664,35.079783424310406,-0.025611971018246527,0.457577169481654,1,2024-07-18,2024-12-13,2024-12-16,2025-05-14,-8.56731517314395,"{""model__C"": 38.76094171803448, ""model__epsilon"": 0.22688483841007323, ""model__gamma"": 0.0011200032693099203}"
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,9.764177230317276,13.133454976762904,-0.14176296936134758,0.27227722772277224,2,2024-07-18,2025-05-14,2025-05-15,2025-10-16,-15.705478030593435,"{""model__C"": 16.598498453342284, ""model__epsilon"": 0.33949926769495553, ""model__gamma"": 0.01155978355611923}"
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,12.07212978975172,17.414860854051387,0.1763493793934472,0.3902620850320326,3,2024-07-18,2025-10-16,2025-10-17,2026-03-20,-13.458201021576796,"{""model__C"": 6.690921558581586, ""model__epsilon"": 0.08763337482261196, ""model__gamma"": 0.025352249141085578}"
