task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ3 Large Movement,Strict,Reduced,Logistic ElasticNet,0.5869565217391305,0.5971428571428572,0.5357142857142857,0.7142857142857143,0.6122448979591837,0.19829202679673347,0.669047619047619,0.6194567270254034,0.45652173913043476,0.16293498789496869,1.3569052115794553,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.5,0.5333333333333333,0.683119658119658,"{""model__C"": 1.3929289973169994, ""model__l1_ratio"": 0.2755587766489521}"
RQ3 Large Movement,Strict,Reduced,Logistic ElasticNet,0.2717391304347826,0.5078563411896746,0.12162162162162163,0.8181818181818182,0.21176470588235294,0.012851004369171363,0.638608305274972,0.19407134613638885,0.11956521739130435,0.0745061287450845,1.6231421676861613,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.3999622453952463,0.6870229007633588,0.677657477330031,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ3 Large Movement,Strict,Reduced,Logistic ElasticNet,0.7391304347826086,0.7391304347826086,0.4857142857142857,0.7391304347826086,0.5862068965517241,0.4265617038812147,0.7466918714555766,0.5554420719668343,0.25,0.30544207196683426,2.221768287867337,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.4853919890956168,0.6,0.5725144357115747,"{""model__C"": 0.016360281948189306, ""model__l1_ratio"": 0.38798251760716695}"
RQ3 Large Movement,Strict,Reduced,Extra Trees,0.7065217391304348,0.7185714285714285,0.631578947368421,0.8571428571428571,0.7272727272727273,0.4484991081972245,0.7295238095238095,0.6247921796034894,0.45652173913043476,0.16827044047305467,1.3685923934171673,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.48477846671195224,0.36363636363636365,0.5918116605616606,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 18, ""model__n_estimators"": 516}"
RQ3 Large Movement,Strict,Reduced,Extra Trees,0.7934782608695652,0.6077441077441077,0.25,0.36363636363636365,0.2962962962962963,0.18445719036428657,0.7631874298540965,0.302282017422974,0.11956521739130435,0.18271680003166965,2.5281768729921463,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.5103615231920255,0.6909090909090909,0.631739522029881,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 7, ""model__min_samples_split"": 2, ""model__n_estimators"": 530}"
RQ3 Large Movement,Strict,Reduced,Extra Trees,0.7065217391304348,0.717391304347826,0.4473684210526316,0.7391304347826086,0.5573770491803278,0.3823595564509363,0.7517328292375551,0.5277205453562536,0.25,0.27772054535625357,2.1108821814250143,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.5141566219393923,0.6119402985074627,0.5725371124170535,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 17, ""model__n_estimators"": 433}"
RQ3 Large Movement,Strict,Reduced,Histogram Gradient Boosting,0.6521739130434783,0.6571428571428571,0.6,0.7142857142857143,0.6521739130434783,0.3142857142857143,0.6692857142857143,0.5540487164262486,0.45652173913043476,0.09752697729581389,1.2136305216955923,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.1335701981023,0.47058823529411764,0.53102714515758,"{""model__l2_regularization"": 0.7401620568104744, ""model__learning_rate"": 0.04874845341868757, ""model__max_bins"": 255, ""model__max_iter"": 301, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 9}"
RQ3 Large Movement,Strict,Reduced,Histogram Gradient Boosting,0.6739130434782609,0.6576879910213244,0.21212121212121213,0.6363636363636364,0.3181818181818182,0.21334599380686353,0.7452300785634118,0.2599399628573935,0.11956521739130435,0.14037474546608916,2.174043325716382,2,2024-07-18,2025-05-07,2025-05-08,2025-10-17,0.06183077706927257,0.6724137931034483,0.5627679687267492,"{""model__l2_regularization"": 0.018824426489494884, ""model__learning_rate"": 0.021593473909614167, ""model__max_bins"": 255, ""model__max_iter"": 295, ""model__max_leaf_nodes"": 12, ""model__min_samples_leaf"": 11}"
RQ3 Large Movement,Strict,Reduced,Histogram Gradient Boosting,0.7282608695652174,0.717391304347826,0.47058823529411764,0.6956521739130435,0.5614035087719298,0.3900382256192578,0.7262129804662885,0.42497664085120296,0.25,0.17497664085120296,1.6999065634048118,3,2024-07-18,2025-10-17,2025-10-21,2026-03-20,0.5704550316954363,0.6470588235294118,0.5104002295275055,"{""model__l2_regularization"": 0.04319367579117249, ""model__learning_rate"": 0.018892247790827224, ""model__max_bins"": 64, ""model__max_iter"": 109, ""model__max_leaf_nodes"": 14, ""model__min_samples_leaf"": 31}"
RQ3 Large Movement,Strict,Reduced,RBF SVC,0.6304347826086957,0.6276190476190476,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.25523809523809526,0.6699999999999999,0.6529738875282992,0.45652173913043476,0.19645214839786446,1.4303237536334175,1,2024-07-18,2024-12-13,2024-12-17,2025-05-07,0.34216393253710903,0.5,0.625,"{""model__C"": 64.88747640235755, ""model__gamma"": 0.004444387664663366}"
