research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,2,dist_from_day_high_pct,Price position,0.059899527186761156,0.028683927042369953
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,2,dist_from_day_low_pct,Price position,0.011741528762805254,0.006301220741277794
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,2,atr_pct_open_to_1500,True range,0.021660756501181943,0.018365677448902207
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,ret_open_to_1500,SPX momentum,-0.019796747967479655,0.025713061097530847
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,ret_last_15m,SPX momentum,0.02840447154471548,0.01601051687603643
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,ret_last_30m,SPX momentum,0.004674796747967469,0.012043776321671537
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,ret_last_60m,SPX momentum,0.033556910569105716,0.027595002318377956
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,momentum_accel_60m_vs_prior,SPX momentum,0.0034552845528455335,0.015604012112219127
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,vix_level_1500,VIX,-0.011605691056910538,0.011439478700797406
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,vix_ret_last_15m,VIX,0.017103658536585388,0.0191040990298474
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,vix_ret_last_30m,VIX,0.0004166666666666652,0.006166103577895287
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,vix_ret_last_60m,VIX,0.01244918699186992,0.013993112730195705
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,realized_vol_30m,Realised volatility,0.004918699186991904,0.023902179772942803
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,realized_vol_60m,Realised volatility,0.008892276422764255,0.02991831774180223
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,realized_vol_120m,Realised volatility,0.0239532520325203,0.010201809529424918
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,rv_open_to_1500,Realised volatility,0.01392276422764227,0.011055397284056991
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,spy_volume_last_30m,SPY volume,-0.012042682926829246,0.02097880748219439
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,spy_volume_last_60m,SPY volume,0.014298780487804853,0.008413326898574686
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,spy_cum_volume_to_1500,SPY volume,0.00496951219512195,0.011337651798524254
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,spy_volume_accel_60m_vs_avg,SPY volume,0.016300813008130095,0.016965592159944292
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,spy_dist_from_vwap_pct,Price position,0.002916666666666662,0.008848650242331358
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,position_in_day_range,Price position,-0.0008333333333333304,0.004487637339278737
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,dist_from_day_high_pct,Price position,0.048750000000000036,0.02111692516025806
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,dist_from_day_low_pct,Price position,0.004999999999999988,0.007637626158259721
RQ1 Direction,Relaxed,Full,Histogram Gradient Boosting,3,atr_pct_open_to_1500,True range,-0.026310975609756065,0.03756422414725983
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,ret_open_to_1500,SPX momentum,-0.05659151751430329,0.04904977279768924
RQ2 Magnitude,Relaxed,Reduced,RBF SVR,1,ret_last_15m,SPX momentum,0.49803602802750485,0.28811801600118214
