task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.4444444444444444,0.53125,0.2391304347826087,0.6875,0.3548387096774194,0.0540964084268288,0.5979352678571429,0.44707173673660644,0.2222222222222222,0.22484951451438423,2.011822815314729,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.402177317181581,0.4406779661016949,0.3731225714698087,"{""model__C"": 4.314594244842273, ""model__l1_ratio"": 0.39919688590407476}"
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.7222222222222222,0.754468085106383,0.5657894736842105,0.86,0.6825396825396826,0.48534548496241414,0.8127659574468085,0.627797385683036,0.3472222222222222,0.2805751634608138,1.8080564707671438,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.4672572398316244,0.49101796407185627,0.5601256319168861,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.8055555555555556,0.6492450638792102,0.36,0.42857142857142855,0.391304347826087,0.2781305470045608,0.7506775067750677,0.3673305497184506,0.14583333333333334,0.22149721638511724,2.5188380552122323,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.5121190199791215,0.5970149253731343,0.6138522483837893,"{""model__C"": 0.018186578392755327, ""model__l1_ratio"": 0.11024132226573247}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.6388888888888888,0.6339285714285714,0.3333333333333333,0.625,0.43478260869565216,0.22587697572631282,0.736328125,0.490703002644853,0.2222222222222222,0.2684807804226308,2.2081635119018386,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.45585137608434684,0.37777777777777777,0.33117614074997986,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 7, ""model__min_samples_split"": 14, ""model__n_estimators"": 232}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.7430555555555556,0.7563829787234042,0.5970149253731343,0.8,0.6837606837606838,0.48942409864287606,0.8204255319148936,0.625609147518003,0.3472222222222222,0.2783869252957808,1.8017543448518487,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.4560884593098862,0.46017699115044247,0.509903834907583,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 10, ""model__n_estimators"": 746}"
RQ3 Large Movement,Strict,Full,Extra Trees,0.6875,0.6591173054587689,0.26,0.6190476190476191,0.36619718309859156,0.2359177868765448,0.7429345722028649,0.4336435454779894,0.14583333333333334,0.2878102121446561,2.9735557404204984,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.4213140505092989,0.576,0.5533007193698353,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 8, ""model__n_estimators"": 504}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.7430555555555556,0.5892857142857143,0.4,0.3125,0.3508771929824561,0.1959983830200101,0.6160714285714286,0.3522329603270968,0.2222222222222222,0.13001073810487457,1.5850483214719355,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.562042499013383,0.4,0.3417505143772425,"{""model__l2_regularization"": 0.06147012078064707, ""model__learning_rate"": 0.07072614195575921, ""model__max_bins"": 64, ""model__max_iter"": 404, ""model__max_leaf_nodes"": 25, ""model__min_samples_leaf"": 12}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.6944444444444444,0.6957446808510639,0.546875,0.7,0.6140350877192983,0.3750886420057293,0.757872340425532,0.5752438559489763,0.3472222222222222,0.2280216337267541,1.6567023051330518,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.34323411687197947,0.425,0.46371538317998545,"{""model__l2_regularization"": 0.00955609686736343, ""model__learning_rate"": 0.014635180564549342, ""model__max_bins"": 255, ""model__max_iter"": 212, ""model__max_leaf_nodes"": 23, ""model__min_samples_leaf"": 24}"
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.6875,0.6393728222996515,0.25,0.5714285714285714,0.34782608695652173,0.20869596778242056,0.6705381339527681,0.33337120046807894,0.14583333333333334,0.1875378671347456,2.285973946066827,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.4102997509826039,0.525,0.47087268650088415,"{""model__l2_regularization"": 0.0062004432432274815, ""model__learning_rate"": 0.011999857642312034, ""model__max_bins"": 32, ""model__max_iter"": 236, ""model__max_leaf_nodes"": 22, ""model__min_samples_leaf"": 21}"
RQ3 Large Movement,Strict,Full,RBF SVC,0.4097222222222222,0.609375,0.26956521739130435,0.96875,0.4217687074829932,0.22676923921923794,0.7527901785714286,0.5316207977788417,0.2222222222222222,0.30939857555661954,2.392293590004788,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-0.8686184590799335,0.391304347826087,0.36197308172198417,"{""model__C"": 3.274486343643001, ""model__gamma"": 0.0012654212015718546}"
RQ3 Large Movement,Strict,Full,RBF SVC,0.6875,0.7559574468085106,0.5268817204301075,0.98,0.6853146853146853,0.5095891020509216,0.8212765957446808,0.6426518101440637,0.3472222222222222,0.2954295879218415,1.8508372132149036,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,-0.8723187786939753,0.48936170212765956,0.5313448664490937,"{""model__C"": 1.785664368184957, ""model__gamma"": 0.0004331327823536609}"
RQ3 Large Movement,Strict,Full,RBF SVC,0.4097222222222222,0.6544715447154472,0.19811320754716982,1.0,0.33070866141732286,0.24739787063894994,0.7688734030197445,0.37251347367866045,0.14583333333333334,0.2266801403453271,2.5543781052251,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,-0.8842575880655229,0.4876543209876543,0.6076661849762143,"{""model__C"": 0.09354759507486173, ""model__gamma"": 0.0035639374271719255}"
