research_question,dataset_variant,feature_set,model,outer_fold,feature,feature_group,importance_mean,importance_std_within_fold
RQ1 Direction,Strict,Full,Extra Trees,3,ret_last_30m,SPX momentum,0.015000000000000008,0.006624868971450606
RQ1 Direction,Strict,Full,Extra Trees,3,ret_last_60m,SPX momentum,0.011289855072463767,0.006949558713299627
RQ1 Direction,Strict,Full,Extra Trees,3,momentum_accel_60m_vs_prior,SPX momentum,0.0009710144927536302,0.003977752666782213
RQ1 Direction,Strict,Full,Extra Trees,3,vix_level_1500,VIX,-0.004405797101449232,0.00691327134798995
RQ1 Direction,Strict,Full,Extra Trees,3,vix_ret_last_15m,VIX,0.012130434782608713,0.00707048855763195
RQ1 Direction,Strict,Full,Extra Trees,3,vix_ret_last_30m,VIX,0.011797101449275366,0.008587295902300892
RQ1 Direction,Strict,Full,Extra Trees,3,vix_ret_last_60m,VIX,0.003753623188405808,0.0056729273395553104
RQ1 Direction,Strict,Full,Extra Trees,3,realized_vol_30m,Realised volatility,-0.0014347826086956671,0.004917701182375224
RQ1 Direction,Strict,Full,Extra Trees,3,realized_vol_60m,Realised volatility,0.0030869565217391147,0.007738791177495925
RQ1 Direction,Strict,Full,Extra Trees,3,realized_vol_120m,Realised volatility,-0.0012173913043478312,0.005163652392265119
RQ1 Direction,Strict,Full,Extra Trees,3,rv_open_to_1500,Realised volatility,0.0026521739130434875,0.005597487208916186
RQ1 Direction,Strict,Full,Extra Trees,3,spy_volume_last_30m,SPY volume,-0.0013478260869565217,0.003988299417185974
RQ1 Direction,Strict,Full,Extra Trees,3,spy_volume_last_60m,SPY volume,-0.0028550724637681213,0.0039042036490384924
RQ1 Direction,Strict,Full,Extra Trees,3,spy_cum_volume_to_1500,SPY volume,0.004028985507246385,0.00634901716044236
RQ1 Direction,Strict,Full,Extra Trees,3,spy_volume_accel_60m_vs_avg,SPY volume,-0.004913043478260876,0.004358898943540679
RQ1 Direction,Strict,Full,Extra Trees,3,spy_dist_from_vwap_pct,Price position,-0.00037681159420289154,0.005390914743597522
RQ1 Direction,Strict,Full,Extra Trees,3,position_in_day_range,Price position,0.006884057971014485,0.010298577646126253
RQ1 Direction,Strict,Full,Extra Trees,3,dist_from_day_high_pct,Price position,0.008594202898550707,0.008664327637442387
RQ1 Direction,Strict,Full,Extra Trees,3,dist_from_day_low_pct,Price position,0.0046666666666666965,0.004268749491621901
RQ1 Direction,Strict,Full,Extra Trees,3,atr_pct_open_to_1500,True range,0.010521739130434771,0.0067106926874433495
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,ret_open_to_1500,SPX momentum,-0.027078401672479123,0.024563525218285948
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,ret_last_15m,SPX momentum,0.05891610834719394,0.04169839847040413
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,ret_last_30m,SPX momentum,0.0023893197908829043,0.005706833000445029
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,ret_last_60m,SPX momentum,-0.0035838642088505956,0.006762968598717659
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,momentum_accel_60m_vs_prior,SPX momentum,0.009570505936806573,0.03574188611075872
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,vix_level_1500,VIX,-0.006325322057778582,0.03204652087576373
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,vix_ret_last_15m,VIX,0.03551252625789329,0.018277435460576093
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,vix_ret_last_30m,VIX,-0.0033107085652758885,0.01191176773326994
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,vix_ret_last_60m,VIX,-0.007188761306110259,0.014720757520218368
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,realized_vol_30m,Realised volatility,0.25875595055580236,0.08087206466424235
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,realized_vol_60m,Realised volatility,0.16225317732160532,0.06605492402206638
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,realized_vol_120m,Realised volatility,0.08181411408175938,0.04958641213379177
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,rv_open_to_1500,Realised volatility,0.060202473645327895,0.05637213632741294
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,spy_volume_last_30m,SPY volume,-0.007754765697584265,0.008395786430388158
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,spy_volume_last_60m,SPY volume,-0.06350517367309871,0.03456062051986078
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,spy_cum_volume_to_1500,SPY volume,-0.027723694302166636,0.016664650374347726
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,spy_volume_accel_60m_vs_avg,SPY volume,-0.0069541283053803585,0.014500514618369986
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,spy_dist_from_vwap_pct,Price position,0.017932438982026698,0.019023587672947085
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,position_in_day_range,Price position,0.024825112602325828,0.01248052743101294
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,dist_from_day_high_pct,Price position,0.018344629598339955,0.01979410665659111
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,dist_from_day_low_pct,Price position,0.0023427111096783193,0.0015409675968925103
RQ2 Magnitude,Relaxed,Full,RBF SVR,1,atr_pct_open_to_1500,True range,0.05464424015490419,0.05340997012239269
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,ret_open_to_1500,SPX momentum,-0.0010233318794292678,0.07029491085701893
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,ret_last_15m,SPX momentum,0.115301476062879,0.0998742143286147
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,ret_last_30m,SPX momentum,-0.027240051843201572,0.0661932700106836
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,ret_last_60m,SPX momentum,0.04531149241103707,0.06299645188394497
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,momentum_accel_60m_vs_prior,SPX momentum,0.20852700794568485,0.10157632825745842
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,vix_level_1500,VIX,0.4605548041843785,0.17448639049171236
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,vix_ret_last_15m,VIX,0.08252279337032782,0.10679267052596926
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,vix_ret_last_30m,VIX,0.1220268073744692,0.10381616998457463
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,vix_ret_last_60m,VIX,0.03483166669493132,0.10162831594189416
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,realized_vol_30m,Realised volatility,0.27832355895174554,0.17361795579049633
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,realized_vol_60m,Realised volatility,0.36491255061142913,0.19161833911591777
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,realized_vol_120m,Realised volatility,0.2711430180316941,0.18159584244067803
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,rv_open_to_1500,Realised volatility,0.3318681183062977,0.16267566715145995
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,spy_volume_last_30m,SPY volume,-0.04535775659309058,0.026219488109646045
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,spy_volume_last_60m,SPY volume,0.005880664819477133,0.04265188490479975
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,spy_cum_volume_to_1500,SPY volume,0.002133045257208366,0.06277920680400247
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,spy_volume_accel_60m_vs_avg,SPY volume,0.15111919224995313,0.08733644456947728
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,spy_dist_from_vwap_pct,Price position,0.028665450086645183,0.07201879137568389
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,position_in_day_range,Price position,0.023937091719265613,0.042129215242792666
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,dist_from_day_high_pct,Price position,0.12034723893260502,0.10041316860064195
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,dist_from_day_low_pct,Price position,0.1267338710371499,0.11183909968392482
RQ2 Magnitude,Relaxed,Full,RBF SVR,2,atr_pct_open_to_1500,True range,0.6708308729848578,0.1906563146909178
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,ret_open_to_1500,SPX momentum,0.0014787423306133363,0.002444132318261476
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,ret_last_15m,SPX momentum,-0.03097685152903269,0.04773387117335445
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,ret_last_30m,SPX momentum,-0.0037067582568112377,0.022937883841106073
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,ret_last_60m,SPX momentum,-0.0030458840274924627,0.0025171483234809086
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,momentum_accel_60m_vs_prior,SPX momentum,0.007821741040589192,0.024226116386486068
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,vix_level_1500,VIX,0.01960797368121021,0.019961374735622504
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,vix_ret_last_15m,VIX,-0.005068078673706911,0.06886375912317137
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,vix_ret_last_30m,VIX,0.012795276307240488,0.026813184080347593
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,vix_ret_last_60m,VIX,0.011787029978407393,0.028403931872099518
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,realized_vol_30m,Realised volatility,-0.0644289941830424,0.0821537733655702
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,realized_vol_60m,Realised volatility,-0.032197252258481156,0.06671726698208337
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,realized_vol_120m,Realised volatility,0.02369129143859805,0.06300013877734896
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,rv_open_to_1500,Realised volatility,0.04345216686229873,0.04280149925681741
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,spy_volume_last_30m,SPY volume,-0.03741695482805385,0.04429799333788717
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,spy_volume_last_60m,SPY volume,-0.026176095783445152,0.02584968455161302
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,spy_cum_volume_to_1500,SPY volume,0.00087516069494189,0.0027596442882358487
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,spy_volume_accel_60m_vs_avg,SPY volume,-0.12907878240099455,0.08189353756107494
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,spy_dist_from_vwap_pct,Price position,-0.0016061646962634234,0.004789978080432608
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,position_in_day_range,Price position,-0.005583066671338166,0.01685872433368427
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,dist_from_day_high_pct,Price position,0.012309094510775243,0.0263022056100291
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,dist_from_day_low_pct,Price position,0.027876865297614285,0.017663720207374983
RQ2 Magnitude,Relaxed,Full,RBF SVR,3,atr_pct_open_to_1500,True range,0.08306124743317636,0.052852650825264275
