task,dataset_variant,feature_set,model,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,average_precision,positive_prevalence,average_precision_lift,average_precision_lift_ratio,outer_fold,outer_train_start,outer_train_end,outer_test_start,outer_test_end,threshold,inner_threshold_objective,inner_best_search_score,best_parameters
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.5763888888888888,0.5646284829721362,0.5728155339805825,0.7763157894736842,0.659217877094972,0.14298967177767552,0.5588235294117648,0.5923032140908816,0.5277777777777778,0.06452543631310381,1.1222587214353545,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.4990440012357819,0.5715287517531557,0.5604622072114332,"{""model__C"": 0.0309041998372194, ""model__l1_ratio"": 0.26230482259638144}"
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.4444444444444444,0.4611358790463268,0.4392523364485981,0.7014925373134329,0.5402298850574713,-0.0887296682627585,0.44659817794146156,0.45190534992895354,0.4652777777777778,-0.013372427848824253,0.9712592595487957,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.49258454543808194,0.5403412501071765,0.5302338940419192,"{""model__C"": 0.06259709644986548, ""model__l1_ratio"": 0.6092383806181517}"
RQ1 Direction,Strict,Full,Logistic ElasticNet,0.5208333333333334,0.5,0.0,0.0,0.0,0.0,0.5,0.4791666666666667,0.4791666666666667,0.0,1.0,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.5006174352217634,0.5041158536585366,0.5,"{""model__C"": 0.0017482760355616923, ""model__l1_ratio"": 0.16332444820826675}"
RQ1 Direction,Strict,Full,Extra Trees,0.5416666666666666,0.5147058823529411,0.5352112676056338,1.0,0.6972477064220184,0.12546516596551385,0.548374613003096,0.5836819855160111,0.5277777777777778,0.05590420773823335,1.1059237620303368,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.4151120852902455,0.5403225806451613,0.4713879172083506,"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 12, ""model__min_samples_split"": 5, ""model__n_estimators"": 782}"
RQ1 Direction,Strict,Full,Extra Trees,0.5555555555555556,0.5650319829424307,0.5164835164835165,0.7014925373134329,0.5949367088607594,0.1345182241358449,0.5437100213219617,0.48483678903989946,0.4652777777777778,0.019559011262121673,1.0420372779365004,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.5107780403604031,0.5534596587498928,0.5246130471150141,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 12, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 13, ""model__min_samples_split"": 2, ""model__n_estimators"": 485}"
RQ1 Direction,Strict,Full,Extra Trees,0.5138888888888888,0.5321739130434783,0.4962962962962963,0.9710144927536232,0.6568627450980392,0.13280086917434747,0.45507246376811594,0.44338640240718363,0.4791666666666667,-0.03578026425948305,0.9253281441541223,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.3919605421325825,0.5119664634146341,0.5033966902253021,"{""model__bootstrap"": false, ""model__class_weight"": ""balanced"", ""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 14, ""model__min_samples_split"": 14, ""model__n_estimators"": 217}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.5416666666666666,0.5534055727554179,0.6190476190476191,0.34210526315789475,0.4406779661016949,0.11731487822973387,0.5953947368421053,0.6122364121881453,0.5277777777777778,0.0844586344103675,1.1600268862512226,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,0.6087213180819292,0.5280504908835905,0.5112982992239958,"{""model__l2_regularization"": 0.2578867976282113, ""model__learning_rate"": 0.0342811772158964, ""model__max_bins"": 32, ""model__max_iter"": 372, ""model__max_leaf_nodes"": 17, ""model__min_samples_leaf"": 22}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.4930555555555556,0.49496026361698,0.4605263157894737,0.5223880597014925,0.48951048951048953,-0.010070692310916108,0.5024229501841442,0.4654685408627116,0.4652777777777778,0.00019076308493382044,1.0004099982720966,2,2023-02-15,2024-09-20,2024-09-23,2025-05-13,0.51616942142837,0.5828689016548058,0.5672629088836799,"{""model__l2_regularization"": 3.8965578025091947, ""model__learning_rate"": 0.013688090729945365, ""model__max_bins"": 255, ""model__max_iter"": 196, ""model__max_leaf_nodes"": 25, ""model__min_samples_leaf"": 11}"
RQ1 Direction,Strict,Full,Histogram Gradient Boosting,0.5069444444444444,0.5098550724637682,0.4878048780487805,0.5797101449275363,0.5298013245033113,0.019885761379117527,0.5192270531400967,0.5247033770354104,0.4791666666666667,0.04553671036874368,1.0950331346825954,3,2023-02-15,2025-05-13,2025-05-14,2026-01-28,0.4634767357707971,0.5623475609756098,0.543371602448757,"{""model__l2_regularization"": 2.9348565844935, ""model__learning_rate"": 0.05494962231515871, ""model__max_bins"": 128, ""model__max_iter"": 260, ""model__max_leaf_nodes"": 13, ""model__min_samples_leaf"": 24}"
RQ1 Direction,Strict,Full,RBF SVC,0.5416666666666666,0.5185758513931888,0.5378787878787878,0.9342105263157895,0.6826923076923077,0.06710615993617215,0.5497291021671826,0.5698516445691741,0.5277777777777778,0.04207386679139635,1.0797189054994878,1,2023-02-15,2023-10-18,2023-10-19,2024-09-20,-0.043296294655718236,0.5185834502103787,0.5115116221927368,"{""model__C"": 3.274486343643001, ""model__gamma"": 0.0012654212015718546}"
