dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-01-02,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-01-03,854,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-03\data.parquet,ok,
stock_minute_1,SPY,2023-01-04,847,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-04\data.parquet,ok,
stock_minute_1,SPY,2023-01-05,839,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-05\data.parquet,ok,
stock_minute_1,SPY,2023-01-06,831,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-06\data.parquet,ok,
stock_minute_1,SPY,2023-01-09,844,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-09\data.parquet,ok,
stock_minute_1,SPY,2023-01-10,859,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-10\data.parquet,ok,
stock_minute_1,SPY,2023-01-11,870,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-11\data.parquet,ok,
stock_minute_1,SPY,2023-01-12,837,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-12\data.parquet,ok,
stock_minute_1,SPY,2023-01-13,823,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-13\data.parquet,ok,
stock_minute_1,SPY,2023-01-16,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-01-17,834,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-17\data.parquet,ok,
stock_minute_1,SPY,2023-01-18,852,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-18\data.parquet,ok,
stock_minute_1,SPY,2023-01-19,886,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-19\data.parquet,ok,
stock_minute_1,SPY,2023-01-20,831,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-20\data.parquet,ok,
stock_minute_1,SPY,2023-01-23,837,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-23\data.parquet,ok,
stock_minute_1,SPY,2023-01-24,887,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-24\data.parquet,ok,
stock_minute_1,SPY,2023-01-25,890,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-25\data.parquet,ok,
stock_minute_1,SPY,2023-01-26,857,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-26\data.parquet,ok,
stock_minute_1,SPY,2023-01-27,806,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-27\data.parquet,ok,
stock_minute_1,SPY,2023-01-30,891,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-30\data.parquet,ok,
stock_minute_1,SPY,2023-01-31,889,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-01-31\data.parquet,ok,
stock_minute_1,SPY,2023-02-01,889,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-02-01\data.parquet,ok,
stock_minute_1,SPY,2023-02-02,907,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-02-02\data.parquet,ok,
